,Network Name,Native ID,Latitude,Longitude,Elevation (m),Variables
0,ENV-AQN,M114017,49.32166667,-117.6402778,449.0,Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
1,ENV-AQN,E230557,54.69111111,-127.0547222,510.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
2,ENV-AQN,M107028,54.51833333,-128.5975,80.0,Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
3,ENV-AQN,E248021,50.98722222,-118.1883333,1500.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
4,ENV-AQN,E230617,51.65333333,-121.365,1063.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
5,ENV-AQN,E248774,55.37777778,-121.7047222,665.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
6,ENV-AQN,E225267,54.23083333,-125.7644444,652.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
7,ENV-AQN,E269223,54.01638889,-124.0061111,638.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
8,ENV-AQN,M111068,52.15222222,-122.1736111,628.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
9,ENV-AQN,260011,49.09527778,-117.7469444,604.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
10,ENV-AQN,E264682,50.105,-120.7922222,603.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
11,ENV-AQN,M109946,53.88916667,-122.7602778,594.0,Temperature (Mean)|Wind Speed (Point)
12,ENV-AQN,M109943,53.91527778,-122.7961111,584.0,Temperature (Mean)|Wind Speed (Point)
13,ENV-AQN,M109940,53.93333333,-122.6827778,578.0,Temperature (Mean)|Wind Speed (Point)
14,ENV-AQN,E226268,54.62138889,-126.8511111,552.0,Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
15,ENV-AQN,E262799,49.04388889,-116.5438889,525.0,Precipitation Amount|Relative Humidity (Point)|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
16,ENV-AQN,E262779,49.01472222,-118.4269444,520.0,Air Pressure (Point)|Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
17,ENV-AQN,E237431,50.11277778,-120.7888889,500.0,Relative Humidity (Point)|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
18,ENV-AQN,M111073,52.99194444,-122.4883333,488.0,Precipitation Amount|Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
19,ENV-AQN,M101005,48.77444444,-123.17,478.0,Relative Humidity (Point)|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
20,ENV-AQN,M101110,48.77444444,-123.17,445.0,Temperature (Mean)|Wind Speed (Point)
