station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, ATMOSPHERIC_PRESSURE, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, WIND_DIRECTION_STD_DEVIATION1, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MAXIMUM_MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1
None, 1.6, 93.0, None, None, None, 1983-11-24 22:00:00, None, None, None, None, None
None, 1.4, 93.0, None, None, None, 1983-11-24 23:00:00, None, None, None, None, None
None, 1.6, 93.0, None, None, None, 1983-11-25 00:00:00, None, None, None, None, None
None, 1.6, 93.0, None, None, None, 1983-11-25 01:00:00, None, None, None, None, None
None, 1.6, 93.0, None, None, None, 1983-11-25 02:00:00, None, None, None, None, None
None, 1.5, 92.0, None, None, None, 1983-11-25 03:00:00, None, None, None, None, None
None, 1.4, 88.0, None, None, None, 1983-11-26 07:00:00, None, None, None, None, None
None, 0.9, 89.0, None, None, None, 1983-11-26 08:00:00, None, None, None, None, None
None, 1.5, 90.0, None, None, None, 1983-11-26 09:00:00, None, None, None, None, None
None, 1.9, None, None, None, None, 1983-11-26 12:00:00, None, None, None, None, None
None, 2.1, 85.0, None, None, None, 1983-11-26 13:00:00, None, None, None, None, None
None, 2.1, 84.0, None, None, None, 1983-11-26 14:00:00, None, None, None, None, None
None, 2.3, 85.0, None, None, None, 1983-11-26 15:00:00, None, None, None, None, None
None, 2.5, 84.0, None, None, None, 1983-11-26 16:00:00, None, None, None, None, None
None, 2.1, 86.0, None, None, None, 1983-11-26 17:00:00, None, None, None, None, None
None, 3.4, 82.0, None, None, None, 1983-11-26 18:00:00, None, None, None, None, None
None, 2.6, 88.0, None, None, None, 1983-11-26 19:00:00, None, None, None, None, None
None, 3.0, 89.0, None, None, None, 1983-11-26 20:00:00, None, None, None, None, None
None, 3.8, 92.0, None, None, None, 1983-11-26 21:00:00, None, None, None, None, None
None, 3.4, 91.0, None, None, None, 1983-11-26 22:00:00, None, None, None, None, None
None, 3.4, 92.0, None, None, None, 1983-11-26 23:00:00, None, None, None, None, None
None, 3.8, 92.0, None, None, None, 1983-11-27 00:00:00, None, None, None, None, None
None, 3.4, 92.0, None, None, None, 1983-11-27 01:00:00, None, None, None, None, None
None, 3.5, 93.0, None, None, None, 1983-11-27 02:00:00, None, None, None, None, None
None, 3.4, 93.0, None, None, None, 1983-11-27 03:00:00, None, None, None, None, None
None, 3.3, 93.0, None, None, None, 1983-11-27 04:00:00, None, None, None, None, None
None, 3.4, 93.0, None, None, None, 1983-11-27 05:00:00, None, None, None, None, None
None, 3.4, 93.0, None, None, None, 1983-11-27 06:00:00, None, None, None, None, None
None, 3.3, 93.0, None, None, None, 1983-11-27 07:00:00, None, None, None, None, None
None, 2.7, 93.0, None, None, None, 1983-11-27 08:00:00, None, None, None, None, None
None, 2.6, 93.0, None, None, None, 1983-11-27 09:00:00, None, None, None, None, None
None, 3.0, 94.0, None, None, None, 1983-11-27 10:00:00, None, None, None, None, None
None, 3.0, 93.0, None, None, None, 1983-11-27 11:00:00, None, None, None, None, None
None, 3.3, 93.0, None, None, None, 1983-11-27 12:00:00, None, None, None, None, None
None, 3.2, 93.0, None, None, None, 1983-11-27 13:00:00, None, None, None, None, None
