station_observations
air_temp, CURRENT_AIR_TEMPERATURE1, min_air_temp_snc_last_reset, max_air_temp_snc_last_reset, rel_hum, time, dwpt_temp
-3.7, None, -5.1, -2.7, -6999.0, 2020-01-08 11:00:00, -6999.0
-2.7, None, -5.1, -2.7, -6999.0, 2020-01-08 12:00:00, -6999.0
-2.3, None, -5.1, -2.3, -6999.0, 2020-01-08 13:00:00, -6999.0
-2.0, None, -5.1, -2.0, -6999.0, 2020-01-08 14:00:00, -6999.0
-2.3, None, -5.1, -1.9, -6999.0, 2020-01-08 15:00:00, -6999.0
-3.8, None, -5.1, -1.9, -6999.0, 2020-01-08 16:00:00, -6999.0
-6.0, None, -6.0, -1.9, -6999.0, 2020-01-08 17:00:00, -6999.0
-8.4, None, -8.4, -1.9, -6999.0, 2020-01-08 18:00:00, -6999.0
-10.1, None, -10.1, -8.4, -6999.0, 2020-01-08 19:00:00, -6999.0
-11.2, None, -11.2, -8.4, -6999.0, 2020-01-08 20:00:00, -6999.0
-12.2, None, -12.2, -8.4, -6999.0, 2020-01-08 21:00:00, -6999.0
-12.9, None, -12.9, -8.4, -6999.0, 2020-01-08 22:00:00, -6999.0
-13.3, None, -13.3, -8.4, -6999.0, 2020-01-08 23:00:00, -6999.0
-13.9, None, -13.9, -8.4, -6999.0, 2020-01-09 00:00:00, -6999.0
-13.4, None, -13.9, -8.4, -6999.0, 2020-01-09 01:00:00, -6999.0
-12.5, None, -13.9, -8.4, -6999.0, 2020-01-09 02:00:00, -6999.0
-11.7, None, -13.9, -8.4, -6999.0, 2020-01-09 03:00:00, -6999.0
-10.8, None, -13.9, -8.4, -6999.0, 2020-01-09 04:00:00, -6999.0
-10.2, None, -13.9, -8.4, -6999.0, 2020-01-09 05:00:00, -6999.0
-10.4, None, -13.9, -8.4, -6999.0, 2020-01-09 06:00:00, -6999.0
-10.5, None, -10.5, -10.4, -6999.0, 2020-01-09 07:00:00, -6999.0
-11.0, None, -11.0, -10.4, -6999.0, 2020-01-09 08:00:00, -6999.0
-10.0, None, -11.0, -10.0, -6999.0, 2020-01-09 09:00:00, -6999.0
-9.2, None, -11.0, -9.2, -6999.0, 2020-01-09 11:00:00, -6999.0
-8.7, None, -11.0, -8.7, -6999.0, 2020-01-09 12:00:00, -6999.0
-6.9, None, -11.0, -7.0, -6999.0, 2020-01-09 13:00:00, -6999.0
-3.4, None, -11.0, -3.5, -6999.0, 2020-01-09 14:00:00, -6999.0
-1.7, None, -11.0, -1.4, -6999.0, 2020-01-09 15:00:00, -6999.0
-2.5, None, -11.0, -1.4, -6999.0, 2020-01-09 16:00:00, -6999.0
-5.6, None, -11.0, -1.4, -6999.0, 2020-01-09 17:00:00, -6999.0
-7.6, None, -11.0, -1.4, -6999.0, 2020-01-09 18:00:00, -6999.0
-9.0, None, -9.0, -7.5, -6999.0, 2020-01-09 19:00:00, -6999.0
-9.8, None, -9.8, -7.5, -6999.0, 2020-01-09 20:00:00, -6999.0
