station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, ATMOSPHERIC_PRESSURE, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, 7.1, None, None, 1986-06-05 00:00:00, 7.1, None, None, None, None, 8.4, None, None, None
None, 6.9, None, None, 1986-06-05 01:00:00, 6.9, None, None, None, None, 8.4, None, None, None
None, 6.9, None, None, 1986-06-05 02:00:00, 6.9, None, None, None, None, 8.4, None, None, None
None, 6.8, None, None, 1986-06-05 03:00:00, 6.8, None, None, None, None, 8.4, None, None, None
None, 6.7, None, None, 1986-06-05 04:00:00, 6.7, None, None, None, None, 8.4, None, None, None
None, 6.5, None, None, 1986-06-05 05:00:00, 6.5, None, None, None, None, 8.4, None, None, None
None, 6.6, None, None, 1986-06-05 06:00:00, 6.5, None, None, None, None, 8.4, None, None, None
None, 6.8, None, None, 1986-06-05 07:00:00, 6.8, None, None, None, None, 6.8, 0.0, None, None
None, 6.6, None, None, 1986-06-05 08:00:00, 6.6, None, None, None, None, 6.8, -1.0, None, None
None, 8.3, None, None, 1986-06-05 09:00:00, 6.6, None, None, None, None, 8.3, 8.0, None, None
None, 10.4, 124.0, None, 1986-06-05 10:00:00, 6.6, None, None, None, None, 10.4, 16.0, None, None
None, 12.7, 105.0, None, 1986-06-05 11:00:00, 6.6, None, None, None, None, 12.7, 27.0, None, None
None, 13.3, 101.0, None, 1986-06-05 12:00:00, 6.6, None, None, None, None, 13.3, 33.0, None, None
None, 13.1, 98.0, None, 1986-06-05 13:00:00, 6.6, None, None, None, None, 13.3, 39.0, None, None
None, 15.0, 86.0, None, 1986-06-05 14:00:00, 6.6, None, None, None, None, 15.0, 38.0, None, None
None, 13.9, 98.0, None, 1986-06-05 15:00:00, 6.6, None, None, None, None, 15.0, 41.0, None, None
None, 12.9, 100.0, None, 1986-06-05 16:00:00, 6.6, None, None, None, None, 15.0, 49.0, None, None
None, 12.9, 103.0, None, 1986-06-05 17:00:00, 6.6, None, None, None, None, 15.0, 54.0, None, None
None, 11.3, 110.0, None, 1986-06-05 18:00:00, 6.6, None, None, None, None, 15.0, 56.0, None, None
None, 12.1, 106.0, None, 1986-06-05 19:00:00, 12.1, None, None, None, None, 12.1, -6.0, None, None
