station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, WIND_DIRECTION_STD_DEVIATION1, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MAXIMUM_MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1
4.2, None, 4.2, 5.5, 1986-06-05 00:00:00, None, None, None, None, None
4.0, None, 4.0, 5.5, 1986-06-05 01:00:00, None, None, None, None, None
3.9, None, 3.9, 5.5, 1986-06-05 02:00:00, None, None, None, None, None
3.8, None, 3.8, 5.5, 1986-06-05 03:00:00, None, None, None, None, None
3.8, None, 3.8, 5.5, 1986-06-05 04:00:00, None, None, None, None, None
3.5, None, 3.5, 5.5, 1986-06-05 05:00:00, None, None, None, None, None
3.6, None, 3.5, 5.5, 1986-06-05 06:00:00, None, None, None, None, None
3.7, None, 3.7, 3.7, 1986-06-05 07:00:00, None, None, None, None, None
3.7, None, 3.7, 3.7, 1986-06-05 08:00:00, None, None, None, None, None
3.3, None, 3.3, 3.7, 1986-06-05 09:00:00, None, None, None, None, None
3.6, None, 3.3, 3.7, 1986-06-05 10:00:00, None, None, None, None, None
4.2, None, 3.3, 4.2, 1986-06-05 11:00:00, None, None, None, None, None
4.5, None, 3.3, 4.5, 1986-06-05 12:00:00, None, None, None, None, None
5.6, None, 3.3, 5.6, 1986-06-05 13:00:00, None, None, None, None, None
5.7, None, 3.3, 5.7, 1986-06-05 14:00:00, None, None, None, None, None
6.1, None, 3.3, 6.1, 1986-06-05 15:00:00, None, None, None, None, None
6.6, None, 3.3, 6.6, 1986-06-05 16:00:00, None, None, None, None, None
6.0, None, 3.3, 6.6, 1986-06-05 17:00:00, None, None, None, None, None
5.8, None, 3.3, 6.6, 1986-06-05 18:00:00, None, None, None, None, None
5.2, None, 5.2, 5.2, 1986-06-05 19:00:00, None, None, None, None, None
4.2, None, 4.2, 5.2, 1986-06-05 20:00:00, None, None, None, None, None
3.8, None, 3.8, 5.2, 1986-06-05 21:00:00, None, None, None, None, None
3.5, None, 3.5, 5.2, 1986-06-05 22:00:00, None, None, None, None, None
3.3, None, 3.3, 5.2, 1986-06-05 23:00:00, None, None, None, None, None
2.7, None, 2.7, 5.2, 1986-06-06 00:00:00, None, None, None, None, None
2.5, None, 2.5, 5.2, 1986-06-06 01:00:00, None, None, None, None, None
2.2, None, 2.2, 5.2, 1986-06-06 02:00:00, None, None, None, None, None
2.2, None, 2.2, 5.2, 1986-06-06 03:00:00, None, None, None, None, None
1.8, None, 1.8, 5.2, 1986-06-06 04:00:00, None, None, None, None, None
1.9, None, 1.8, 5.2, 1986-06-06 05:00:00, None, None, None, None, None
1.8, None, 1.8, 5.2, 1986-06-06 06:00:00, None, None, None, None, None
1.5, None, 1.5, 1.5, 1986-06-06 07:00:00, None, None, None, None, None
1.7, None, 1.5, 1.7, 1986-06-06 08:00:00, None, None, None, None, None
2.1, None, 1.5, 2.1, 1986-06-06 09:00:00, None, None, None, None, None
2.7, None, 1.5, 2.7, 1986-06-06 10:00:00, None, None, None, None, None
3.3, None, 1.5, 3.3, 1986-06-06 11:00:00, None, None, None, None, None
3.7, None, 1.5, 3.7, 1986-06-06 12:00:00, None, None, None, None, None
2.8, None, 1.5, 3.7, 1986-06-06 13:00:00, None, None, None, None, None
4.8, None, 1.5, 4.8, 1986-06-06 14:00:00, None, None, None, None, None
4.3, None, 1.5, 4.8, 1986-06-06 15:00:00, None, None, None, None, None
4.5, None, 1.5, 4.8, 1986-06-06 16:00:00, None, None, None, None, None
3.6, None, 1.5, 4.8, 1986-06-06 17:00:00, None, None, None, None, None
