station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW
None, 0.518, 81.3, None, None, None, None, None, -2.0, None, None, 2019-11-21 16:00:00, None, -0.935
None, -0.815, 85.7, None, None, None, None, None, -2.0, None, None, 2019-11-21 17:00:00, None, -0.779
None, -1.949, 88.5, None, None, None, None, None, -3.0, None, None, 2019-11-21 18:00:00, None, -0.957
None, -2.372, 91.8, None, None, None, None, None, -4.0, None, None, 2019-11-21 19:00:00, None, -0.796
None, -2.7, 91.1, None, None, None, None, None, -4.0, None, None, 2019-11-21 20:00:00, None, -1.036
None, -2.78, 93.4, None, None, None, None, None, -4.0, None, None, 2019-11-21 21:00:00, None, -0.818
None, -3.299, 94.5, None, None, None, None, None, -4.0, None, None, 2019-11-21 22:00:00, None, -0.683
None, -3.424, 95.7, None, None, None, None, None, -4.0, None, None, 2019-11-21 23:00:00, None, -0.728
None, -3.119, 94.4, None, None, None, None, None, -4.0, None, None, 2019-11-22 00:00:00, None, -0.788
None, -3.714, 94.2, None, None, None, None, None, -5.0, None, None, 2019-11-22 01:00:00, None, -0.91
None, -4.213, 95.5, None, None, None, None, None, -5.0, None, None, 2019-11-22 02:00:00, None, -0.547
None, -4.834, 95.1, None, None, None, None, None, -5.0, None, None, 2019-11-22 03:00:00, None, -0.918
None, -4.866, 96.0, None, None, None, None, None, -5.0, None, None, 2019-11-22 04:00:00, None, -0.813
None, -5.051, 95.3, None, None, None, None, None, -5.0, None, None, 2019-11-22 05:00:00, None, -0.886
None, -5.214, 94.9, None, None, None, None, None, -6.0, None, None, 2019-11-22 06:00:00, None, -0.995
None, -4.915, 94.9, None, None, None, None, None, -5.0, None, None, 2019-11-22 07:00:00, None, -0.661
None, -4.197, 94.9, None, None, None, None, None, -5.0, None, None, 2019-11-22 08:00:00, None, -0.699
None, -3.186, 95.2, None, None, None, None, None, -4.0, None, None, 2019-11-22 09:00:00, None, -0.597
None, -2.09, 95.8, None, None, None, None, None, -2.0, None, None, 2019-11-22 10:00:00, None, -0.665
None, -1.655, 92.2, None, None, None, None, None, -3.0, None, None, 2019-11-22 11:00:00, None, -0.631
None, 0.997, 82.5, None, None, None, None, None, -1.0, None, None, 2019-11-22 12:00:00, None, -1.104
None, 1.685, 78.84, None, None, None, None, None, -2.0, None, None, 2019-11-22 13:00:00, None, -0.75
None, 1.599, 81.2, None, None, None, None, None, -2.0, None, None, 2019-11-22 14:00:00, None, -0.662
None, 1.157, 83.0, None, None, None, None, None, -2.0, None, None, 2019-11-22 15:00:00, None, -0.723
None, 0.805, 86.1, None, None, None, None, None, -1.0, None, None, 2019-11-22 16:00:00, None, -0.659
None, 0.25, 89.6, None, None, None, None, None, -1.0, None, None, 2019-11-22 17:00:00, None, -0.789
None, -0.068, 91.2, None, None, None, None, None, -1.0, None, None, 2019-11-22 18:00:00, None, -0.696
None, -0.449, 92.2, None, None, None, None, None, -1.0, None, None, 2019-11-22 19:00:00, None, -0.734
None, -0.656, 93.6, None, None, None, None, None, -2.0, None, None, 2019-11-22 20:00:00, None, -0.755
None, -0.18, 92.7, None, None, None, None, None, -1.0, None, None, 2019-11-22 21:00:00, None, -0.686
None, -0.261, 92.8, None, None, None, None, None, -1.0, None, None, 2019-11-22 22:00:00, None, -0.658
None, 1.722, 79.96, None, None, None, None, None, -1.0, None, None, 2019-11-22 23:00:00, None, -1.683
None, 1.289, 81.7, None, None, None, None, None, -2.0, None, None, 2019-11-23 00:00:00, None, -0.736
None, 1.667, 82.0, None, None, None, None, None, -1.0, None, None, 2019-11-23 01:00:00, None, -0.733
None, 5.19, 70.81, None, None, None, None, None, 0.0, None, None, 2019-11-23 02:00:00, None, -0.53
None, 2.872, 75.56, None, None, None, None, None, -1.0, None, None, 2019-11-23 03:00:00, None, -0.697
None, 2.543, 78.5, None, None, None, None, None, -1.0, None, None, 2019-11-23 04:00:00, None, -0.669
None, 2.263, 80.3, None, None, None, None, None, -1.0, None, None, 2019-11-23 05:00:00, None, -0.765
None, 2.664, 80.2, None, None, None, None, None, 0.0, None, None, 2019-11-23 06:00:00, None, -0.654
None, 2.228, 81.6, None, None, None, None, None, -1.0, None, None, 2019-11-23 07:00:00, None, -0.869
None, 2.644, 81.7, None, None, None, None, None, 0.0, None, None, 2019-11-23 08:00:00, None, -0.303
None, 4.741, 73.34, None, None, None, None, None, 0.0, None, None, 2019-11-23 09:00:00, None, -0.737
None, 10.01, 51.51, None, None, None, None, None, 0.0, None, None, 2019-11-23 10:00:00, None, -0.817
None, 10.1, 53.46, None, None, None, None, None, 1.0, None, None, 2019-11-23 11:00:00, None, -0.836
None, 10.18, 55.89, None, None, None, None, None, 2.0, None, None, 2019-11-23 12:00:00, None, -0.932
None, 10.76, 50.87, None, None, None, None, None, 1.0, None, None, 2019-11-23 13:00:00, None, -1.075
None, 10.62, 52.71, None, None, None, None, None, 2.0, None, None, 2019-11-23 14:00:00, None, -1.087
None, 9.95, 54.33, None, None, None, None, None, 1.0, None, None, 2019-11-23 15:00:00, None, -1.044
None, 9.63, 56.33, None, None, None, None, None, 1.0, None, None, 2019-11-23 16:00:00, None, -1.075
None, 7.498, 71.76, None, None, None, None, None, 3.0, None, None, 2019-11-23 17:00:00, None, -1.057
None, 6.259, 78.33, None, None, None, None, None, 3.0, None, None, 2019-11-23 18:00:00, None, -0.934
None, 6.327, 78.39, None, None, None, None, None, 3.0, None, None, 2019-11-23 19:00:00, None, -1.11
None, 6.416, 77.38, None, None, None, None, None, 3.0, None, None, 2019-11-23 20:00:00, None, -0.791
None, 6.62, 77.52, None, None, None, None, None, 3.0, None, None, 2019-11-23 21:00:00, None, -1.198
None, 7.456, 73.78, None, None, None, None, None, 3.0, None, None, 2019-11-23 22:00:00, None, -0.901
None, 8.59, 64.08, None, None, None, None, None, 2.0, None, None, 2019-11-23 23:00:00, None, -0.885
None, 8.96, 47.09, None, None, None, None, None, -2.0, None, None, 2019-11-24 00:00:00, None, -1.06
None, 8.73, 42.21, None, None, None, None, None, -4.0, None, None, 2019-11-24 01:00:00, None, -1.202
None, 6.955, 46.42, None, None, None, None, None, -4.0, None, None, 2019-11-24 02:00:00, None, -1.097
None, 7.311, 42.94, None, None, None, None, None, -4.0, None, None, 2019-11-24 03:00:00, None, -1.215
None, 6.05, 47.02, None, None, None, None, None, -4.0, None, None, 2019-11-24 04:00:00, None, -1.098
None, 3.294, 64.3, None, None, None, None, None, -3.0, None, None, 2019-11-24 05:00:00, None, -1.193
None, 5.54, 43.96, None, None, None, None, None, -6.0, None, None, 2019-11-24 06:00:00, None, -1.154
None, 2.597, 63.99, None, None, None, None, None, -3.0, None, None, 2019-11-24 07:00:00, None, -1.003
None, 1.781, 67.21, None, None, None, None, None, -3.0, None, None, 2019-11-24 10:00:00, None, -0.985
None, 6.774, 41.6, None, None, None, None, None, -6.0, None, None, 2019-11-24 11:00:00, None, -1.118
None, 7.171, 39.42, None, None, None, None, None, -5.0, None, None, 2019-11-24 12:00:00, None, -1.218
None, 8.13, 37.49, None, None, None, None, None, -5.0, None, None, 2019-11-24 13:00:00, None, -1.235
None, 6.835, 43.52, None, None, None, None, None, -4.0, None, None, 2019-11-24 14:00:00, None, -1.137
None, 6.611, 44.37, None, None, None, None, None, -5.0, None, None, 2019-11-24 15:00:00, None, -1.296
None, 5.778, 46.67, None, None, None, None, None, -5.0, None, None, 2019-11-24 16:00:00, None, -1.339
None, 5.231, 50.0, None, None, None, None, None, -4.0, None, None, 2019-11-24 17:00:00, None, -1.282
None, 5.108, 50.19, None, None, None, None, None, -4.0, None, None, 2019-11-24 18:00:00, None, -1.254
None, 4.078, 54.7, None, None, None, None, None, -4.0, None, None, 2019-11-24 19:00:00, None, -1.053
None, 2.63, 62.25, None, None, None, None, None, -4.0, None, None, 2019-11-24 20:00:00, None, -1.631
None, 1.725, 68.87, None, None, None, None, None, -3.0, None, None, 2019-11-24 21:00:00, None, -1.046
None, 1.736, 66.32, None, None, None, None, None, -4.0, None, None, 2019-11-24 22:00:00, None, -1.29
None, -0.081, 73.95, None, None, None, None, None, -4.0, None, None, 2019-11-24 23:00:00, None, -1.182
None, -0.922, 76.84, None, None, None, None, None, -4.0, None, None, 2019-11-25 00:00:00, None, -1.29
None, -1.303, 80.2, None, None, None, None, None, -4.0, None, None, 2019-11-25 01:00:00, None, -0.935
None, -2.102, 81.3, None, None, None, None, None, -5.0, None, None, 2019-11-25 02:00:00, None, -1.159
None, -2.546, 82.2, None, None, None, None, None, -5.0, None, None, 2019-11-25 03:00:00, None, -1.13
None, -3.228, 85.1, None, None, None, None, None, -6.0, None, None, 2019-11-25 04:00:00, None, -1.19
None, -3.08, 83.0, None, None, None, None, None, -5.0, None, None, 2019-11-25 05:00:00, None, -1.095
None, -4.011, 85.2, None, None, None, None, None, -6.0, None, None, 2019-11-25 06:00:00, None, -1.186
None, -4.542, 85.5, None, None, None, None, None, -6.0, None, None, 2019-11-25 07:00:00, None, -1.032
None, -4.074, 86.0, None, None, None, None, None, -6.0, None, None, 2019-11-25 08:00:00, None, -1.0
None, -3.732, 87.9, None, None, None, None, None, -5.0, None, None, 2019-11-25 09:00:00, None, -0.637
None, -2.624, 82.4, None, None, None, None, None, -5.0, None, None, 2019-11-25 10:00:00, None, -1.05
None, -2.177, 77.06, None, None, None, None, None, -5.0, None, None, 2019-11-25 11:00:00, None, -0.738
None, 1.326, 59.98, None, None, None, None, None, -5.0, None, None, 2019-11-25 12:00:00, None, -0.909
None, 2.306, 58.84, None, None, None, None, None, -5.0, None, None, 2019-11-25 13:00:00, None, -1.158
None, 2.492, 58.11, None, None, None, None, None, -5.0, None, None, 2019-11-25 14:00:00, None, -0.803
None, 1.277, 61.89, None, None, None, None, None, -5.0, None, None, 2019-11-25 15:00:00, None, -0.854
None, -0.942, 74.91, None, None, None, None, None, -5.0, None, None, 2019-11-25 16:00:00, None, -0.939
None, -2.703, 82.2, None, None, None, None, None, -5.0, None, None, 2019-11-25 17:00:00, None, -0.973
None, -3.323, 84.0, None, None, None, None, None, -5.0, None, None, 2019-11-25 18:00:00, None, -0.925
None, -4.051, 84.8, None, None, None, None, None, -6.0, None, None, 2019-11-25 19:00:00, None, -1.034
None, -4.645, 85.7, None, None, None, None, None, -7.0, None, None, 2019-11-25 20:00:00, None, -0.9
None, -5.246, 87.1, None, None, None, None, None, -6.0, None, None, 2019-11-25 21:00:00, None, -0.834
None, -4.634, 84.1, None, None, None, None, None, -7.0, None, None, 2019-11-25 22:00:00, None, -0.831
None, -4.573, 79.87, None, None, None, None, None, -8.0, None, None, 2019-11-25 23:00:00, None, -0.94
None, -5.648, 83.8, None, None, None, None, None, -8.0, None, None, 2019-11-26 00:00:00, None, -0.751
None, -5.132, 80.8, None, None, None, None, None, -7.0, None, None, 2019-11-26 01:00:00, None, -0.722
None, -4.831, 80.2, None, None, None, None, None, -8.0, None, None, 2019-11-26 02:00:00, None, -0.854
None, -4.886, 77.56, None, None, None, None, None, -8.0, None, None, 2019-11-26 03:00:00, None, -0.662
None, -5.537, 80.6, None, None, None, None, None, -8.0, None, None, 2019-11-26 04:00:00, None, -0.672
None, -5.543, 80.5, None, None, None, None, None, -8.0, None, None, 2019-11-26 05:00:00, None, -0.761
None, -5.415, 82.4, None, None, None, None, None, -8.0, None, None, 2019-11-26 06:00:00, None, -0.764
None, -4.885, 81.7, None, None, None, None, None, -8.0, None, None, 2019-11-26 07:00:00, None, -0.725
None, -4.438, 76.15, None, None, None, None, None, -7.0, None, None, 2019-11-26 08:00:00, None, -0.731
None, -4.17, 80.9, None, None, None, None, None, -6.0, None, None, 2019-11-26 09:00:00, None, -0.692
None, -3.904, 82.1, None, None, None, None, None, -6.0, None, None, 2019-11-26 10:00:00, None, -0.658
None, -2.871, 77.37, None, None, None, None, None, -6.0, None, None, 2019-11-26 11:00:00, None, -0.77
None, -2.305, 76.3, None, None, None, None, None, -6.0, None, None, 2019-11-26 12:00:00, None, -0.694
None, -1.734, 67.57, None, None, None, None, None, -6.0, None, None, 2019-11-26 13:00:00, None, -0.667
None, -1.681, 75.23, None, None, None, None, None, -5.0, None, None, 2019-11-26 14:00:00, None, -0.709
None, -2.216, 80.5, None, None, None, None, None, -4.0, None, None, 2019-11-26 15:00:00, None, -0.842
None, -2.331, 83.0, None, None, None, None, None, -5.0, None, None, 2019-11-26 16:00:00, None, -0.904
None, -3.243, 86.3, None, None, None, None, None, -5.0, None, None, 2019-11-26 17:00:00, None, -0.767
None, -3.438, 86.0, None, None, None, None, None, -6.0, None, None, 2019-11-26 18:00:00, None, -0.705
None, -2.827, 77.06, None, None, None, None, None, -6.0, None, None, 2019-11-26 19:00:00, None, -0.695
None, -1.286, 56.17, None, None, None, None, None, -8.0, None, None, 2019-11-26 20:00:00, None, -0.676
None, -1.353, 52.17, None, None, None, None, None, -9.0, None, None, 2019-11-26 21:00:00, None, -0.952
None, -1.277, 58.21, None, None, None, None, None, -7.0, None, None, 2019-11-26 22:00:00, None, -0.796
None, -0.684, 53.53, None, None, None, None, None, -8.0, None, None, 2019-11-26 23:00:00, None, -0.625
None, -0.534, 49.42, None, None, None, None, None, -9.0, None, None, 2019-11-27 00:00:00, None, -0.724
None, -0.396, 43.24, None, None, None, None, None, -10.0, None, None, 2019-11-27 01:00:00, None, -0.675
