station_observations
pcpn_amt_pst24hrs, air_temp, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, pcpn_amt_pst1hr, snwfl_amt_pst1hr, max_air_temp_snc_last_reset, rel_hum, min_air_temp_snc_last_reset, time, snw_dpth, dwpt_temp
None, None, -3.009, 73.93, None, None, None, None, None, 2019-11-21 16:00:00, None, None
None, None, -4.014, 78.6, None, None, None, None, None, 2019-11-21 17:00:00, None, None
None, None, -4.532, 81.3, None, None, None, None, None, 2019-11-21 18:00:00, None, None
None, None, -4.42, 77.93, None, None, None, None, None, 2019-11-21 19:00:00, None, None
None, None, -4.277, 73.73, None, None, None, None, None, 2019-11-21 20:00:00, None, None
None, None, -4.547, 74.87, None, None, None, None, None, 2019-11-21 21:00:00, None, None
None, None, -4.853, 74.99, None, None, None, None, None, 2019-11-21 22:00:00, None, None
None, None, -6.007, 79.98, None, None, None, None, None, 2019-11-21 23:00:00, None, None
None, None, -6.324, 84.4, None, None, None, None, None, 2019-11-22 00:00:00, None, None
None, None, -6.314, 80.9, None, None, None, None, None, 2019-11-22 01:00:00, None, None
None, None, -6.37, 78.42, None, None, None, None, None, 2019-11-22 02:00:00, None, None
None, None, -5.918, 84.8, None, None, None, None, None, 2019-11-22 03:00:00, None, None
None, None, -5.177, 80.1, None, None, None, None, None, 2019-11-22 04:00:00, None, None
None, None, -6.111, 82.6, None, None, None, None, None, 2019-11-22 05:00:00, None, None
None, None, -6.507, 84.1, None, None, None, None, None, 2019-11-22 06:00:00, None, None
None, None, -7.358, 85.6, None, None, None, None, None, 2019-11-22 07:00:00, None, None
None, None, -6.296, 83.4, None, None, None, None, None, 2019-11-22 08:00:00, None, None
None, None, -1.453, 69.51, None, None, None, None, None, 2019-11-22 09:00:00, None, None
None, None, 0.619, 63.12, None, None, None, None, None, 2019-11-22 10:00:00, None, None
None, None, -0.786, 69.89, None, None, None, None, None, 2019-11-22 11:00:00, None, None
None, None, -0.087, 67.24, None, None, None, None, None, 2019-11-22 12:00:00, None, None
None, None, 0.467, 66.24, None, None, None, None, None, 2019-11-22 13:00:00, None, None
None, None, 0.118, 68.99, None, None, None, None, None, 2019-11-22 14:00:00, None, None
None, None, -1.505, 76.52, None, None, None, None, None, 2019-11-22 15:00:00, None, None
None, None, -2.849, 77.9, None, None, None, None, None, 2019-11-22 16:00:00, None, None
None, None, -3.564, 80.1, None, None, None, None, None, 2019-11-22 17:00:00, None, None
None, None, -3.7, 82.2, None, None, None, None, None, 2019-11-22 18:00:00, None, None
None, None, -3.486, 85.4, None, None, None, None, None, 2019-11-22 19:00:00, None, None
None, None, -3.82, 86.9, None, None, None, None, None, 2019-11-22 20:00:00, None, None
None, None, -2.909, 86.4, None, None, None, None, None, 2019-11-22 21:00:00, None, None
None, None, -3.223, 90.1, None, None, None, None, None, 2019-11-22 22:00:00, None, None
None, None, -3.032, 89.5, None, None, None, None, None, 2019-11-22 23:00:00, None, None
None, None, -2.762, 88.6, None, None, None, None, None, 2019-11-23 00:00:00, None, None
None, None, -3.513, 93.5, None, None, None, None, None, 2019-11-23 01:00:00, None, None
None, None, -2.945, 92.8, None, None, None, None, None, 2019-11-23 02:00:00, None, None
None, None, -3.553, 97.5, None, None, None, None, None, 2019-11-23 03:00:00, None, None
None, None, -3.458, 97.0, None, None, None, None, None, 2019-11-23 04:00:00, None, None
None, None, -3.259, 94.9, None, None, None, None, None, 2019-11-23 05:00:00, None, None
None, None, -3.498, 97.6, None, None, None, None, None, 2019-11-23 06:00:00, None, None
None, None, -3.243, 98.0, None, None, None, None, None, 2019-11-23 07:00:00, None, None
None, None, -3.243, 96.9, None, None, None, None, None, 2019-11-23 08:00:00, None, None
