station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, MEASURED_WIND_DIRECTION1, MEASURED_WIND_SPEED1, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, dwpt_temp, time
-2.489, 80.4, None, None, None, 9.9, None, 279.5, 14.84, None, None, -5.0, None, None, 2019-11-21 16:00:00
-2.669, 80.6, None, None, None, 9.85, None, 273.3, 18.21, None, None, -5.0, None, None, 2019-11-21 17:00:00
-2.306, 80.5, None, None, None, 9.68, None, 267.9, 17.46, None, None, -5.0, None, None, 2019-11-21 18:00:00
-2.08, 80.6, None, None, None, 7.802, None, 257.4, 16.24, None, None, -5.0, None, None, 2019-11-21 19:00:00
-2.079, 80.4, None, None, None, 11.51, None, 243.2, 15.1, None, None, -5.0, None, None, 2019-11-21 20:00:00
-1.927, 80.1, None, None, None, 7.261, None, 247.8, 17.16, None, None, -4.0, None, None, 2019-11-21 21:00:00
-1.652, 80.4, None, None, None, 10.91, None, 264.3, 14.97, None, None, -4.0, None, None, 2019-11-21 22:00:00
-1.171, 80.3, None, None, None, 7.093, None, 267.6, 14.17, None, None, -4.0, None, None, 2019-11-21 23:00:00
-2.151, 80.4, None, None, None, 12.2, None, 256.3, 14.13, None, None, -5.0, None, None, 2019-11-22 00:00:00
-1.815, 80.3, None, None, None, 11.31, None, 238.7, 14.58, None, None, -5.0, None, None, 2019-11-22 02:00:00
-2.353, 80.2, None, None, None, 17.59, None, 236.7, 15.13, None, None, -5.0, None, None, 2019-11-22 03:00:00
-2.498, 79.75, None, None, None, 9.77, None, 239.0, 20.44, None, None, -5.0, None, None, 2019-11-22 04:00:00
-3.05, 79.58, None, None, None, 12.1, None, 261.1, 21.9, None, None, -6.0, None, None, 2019-11-22 05:00:00
-3.905, 79.78, None, None, None, 11.15, None, 273.5, 24.87, None, None, -6.0, None, None, 2019-11-22 06:00:00
-5.03, 79.32, None, None, None, 10.45, None, 278.7, 22.23, None, None, -8.0, None, None, 2019-11-22 07:00:00
-4.97, 78.79, None, None, None, 10.94, None, 275.1, 21.32, None, None, -8.0, None, None, 2019-11-22 08:00:00
-4.859, 78.51, None, None, None, 11.57, None, 260.9, 19.99, None, None, -8.0, None, None, 2019-11-22 09:00:00
-4.656, 78.41, None, None, None, 10.52, None, 247.8, 16.99, None, None, -8.0, None, None, 2019-11-22 10:00:00
-4.336, 78.15, None, None, None, 10.08, None, 267.2, 16.06, None, None, -7.0, None, None, 2019-11-22 11:00:00
-3.995, 77.98, None, None, None, 13.29, None, 259.1, 15.82, None, None, -7.0, None, None, 2019-11-22 12:00:00
-3.656, 78.42, None, None, None, 10.81, None, 244.8, 13.94, None, None, -7.0, None, None, 2019-11-22 13:00:00
-3.692, 78.36, None, None, None, 11.43, None, 240.6, 14.64, None, None, -7.0, None, None, 2019-11-22 14:00:00
-4.3, 78.61, None, None, None, 10.32, None, 241.4, 13.89, None, None, -7.0, None, None, 2019-11-22 15:00:00
-5.138, 79.1, None, None, None, 7.383, None, 241.5, 17.26, None, None, -8.0, None, None, 2019-11-22 16:00:00
-4.609, 79.17, None, None, None, 11.81, None, 253.5, 17.45, None, None, -7.0, None, None, 2019-11-22 17:00:00
-4.369, 79.13, None, None, None, 7.817, None, 268.2, 14.06, None, None, -7.0, None, None, 2019-11-22 18:00:00
-4.576, 79.19, None, None, None, 10.88, None, 252.4, 15.78, None, None, -7.0, None, None, 2019-11-22 19:00:00
-4.691, 78.99, None, None, None, 9.48, None, 243.3, 15.48, None, None, -7.0, None, None, 2019-11-22 20:00:00
-4.725, 79.4, None, None, None, 15.04, None, 239.2, 9.8, None, None, -7.0, None, None, 2019-11-22 21:00:00
-4.18, 78.92, None, None, None, 11.58, None, 218.2, 10.38, None, None, -7.0, None, None, 2019-11-22 22:00:00
-4.437, 79.06, None, None, None, 13.4, None, 223.6, 10.08, None, None, -7.0, None, None, 2019-11-22 23:00:00
-4.765, 79.38, None, None, None, 11.81, None, 227.4, 13.14, None, None, -8.0, None, None, 2019-11-23 00:00:00
-5.991, 79.74, None, None, None, 11.49, None, 227.6, 13.83, None, None, -8.0, None, None, 2019-11-23 01:00:00
-5.638, 80.3, None, None, None, 11.9, None, 225.7, 10.87, None, None, -8.0, None, None, 2019-11-23 02:00:00
