station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, time, MEASURED_WIND_SPEED1, MAXIMUM_MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1
-10.8, 96.0, -10.8, -10.8, 14.0, 1989-11-26 20:00:00, 47.0, 63.0, 214.0
-10.7, 96.0, -10.8, -10.7, 5.0, 1989-11-26 21:00:00, 60.0, 75.0, 221.0
-10.6, 96.0, -10.8, -10.6, 10.0, 1989-11-26 22:00:00, 48.0, 70.0, 220.0
-10.6, 96.0, -10.8, -10.6, 9.0, 1989-11-26 23:00:00, 44.0, 53.0, 216.0
-10.6, 96.0, -10.8, -10.6, 13.0, 1989-11-27 00:00:00, 40.0, 57.0, 216.0
-10.9, 96.0, -10.9, -10.6, 9.0, 1989-11-27 01:00:00, 48.0, 66.0, 218.0
-11.0, 96.0, -11.0, -10.6, 7.0, 1989-11-27 02:00:00, 68.0, 86.0, 220.0
-11.1, 96.0, -11.1, -10.6, 13.0, 1989-11-27 03:00:00, 54.0, 66.0, 219.0
-11.2, 96.0, -11.2, -10.6, 10.0, 1989-11-27 04:00:00, 64.0, 85.0, 226.0
-11.2, 96.0, -11.2, -10.6, 8.0, 1989-11-27 05:00:00, 76.0, 93.0, 217.0
-11.1, 96.0, -11.2, -10.6, 14.0, 1989-11-27 06:00:00, 60.0, 88.0, 215.0
-10.9, 96.0, -10.9, -10.9, 10.0, 1989-11-27 07:00:00, 58.0, 77.0, 193.0
-10.3, 96.0, -10.9, -10.3, 12.0, 1989-11-27 08:00:00, 51.0, 76.0, 196.0
-9.1, 97.0, -10.9, -9.1, 14.0, 1989-11-27 09:00:00, 60.0, 121.0, 199.0
-8.7, 97.0, -10.9, -8.7, 21.0, 1989-11-27 10:00:00, 105.0, 141.0, 207.0
-8.4, 97.0, -10.9, -8.4, 18.0, 1989-11-27 11:00:00, 95.0, 140.0, 202.0
-8.2, 97.0, -10.9, -8.2, 18.0, 1989-11-27 12:00:00, 98.0, 138.0, 200.0
