station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, WIND_DIRECTION_STD_DEVIATION1, PRECIPITATION_NEW, MEASURED_WIND_DIRECTION1
None, -0.2, 98.0, None, -0.2, 1989-11-02 11:00:00, 115.0, 236.0, 21.0
None, -0.2, 98.0, None, -0.2, 1989-11-02 12:00:00, 115.0, 240.0, 21.0
None, -0.2, 99.0, None, -0.2, 1989-11-02 13:00:00, 115.0, 241.0, 21.0
None, -0.1, 99.0, None, -0.1, 1989-11-02 14:00:00, 115.0, 241.0, 21.0
None, 0.0, 99.0, None, 0.0, 1989-11-02 15:00:00, 115.0, 241.0, 21.0
None, 0.1, 100.0, None, 0.1, 1989-11-02 16:00:00, 115.0, 242.0, 21.0
None, 0.2, 100.0, None, 0.2, 1989-11-02 17:00:00, 115.0, 242.0, 21.0
None, 0.2, 100.0, None, 0.2, 1989-11-02 18:00:00, 115.0, 242.0, 21.0
None, 0.2, 100.0, 0.2, 0.2, 1989-11-02 19:00:00, 115.0, 0.0, 21.0
None, 0.2, 100.0, 0.2, 0.2, 1989-11-02 20:00:00, 115.0, 0.0, 21.0
None, 0.3, 100.0, 0.2, 0.3, 1989-11-02 21:00:00, 115.0, 1.0, 21.0
None, 0.4, 100.0, 0.2, 0.4, 1989-11-02 22:00:00, 115.0, 1.0, 21.0
None, 0.3, 100.0, 0.2, 0.4, 1989-11-02 23:00:00, 115.0, 1.0, 21.0
None, 0.2, 100.0, 0.2, 0.4, 1989-11-03 00:00:00, 115.0, 1.0, 21.0
None, 0.3, 100.0, 0.2, 0.4, 1989-11-03 01:00:00, 115.0, 1.0, 21.0
None, 0.3, 100.0, 0.2, 0.4, 1989-11-03 02:00:00, 115.0, 1.0, 21.0
None, 0.3, 100.0, 0.2, 0.4, 1989-11-03 03:00:00, 115.0, 3.0, 21.0
None, 0.3, 100.0, 0.2, 0.4, 1989-11-03 04:00:00, 115.0, 4.0, 21.0
None, 0.3, 100.0, 0.2, 0.4, 1989-11-03 05:00:00, 115.0, 4.0, 21.0
None, 0.5, 100.0, 0.2, 0.5, 1989-11-03 06:00:00, 115.0, 4.0, 21.0
None, 0.6, 100.0, 0.6, 0.6, 1989-11-03 07:00:00, 115.0, 1.0, 21.0
None, 0.6, 100.0, 0.6, 0.6, 1989-11-03 08:00:00, 115.0, 1.0, 21.0
None, 0.7, 100.0, 0.6, 0.7, 1989-11-03 09:00:00, 115.0, 2.0, 21.0
None, 1.0, 100.0, 0.6, 1.0, 1989-11-03 10:00:00, 115.0, 2.0, 21.0
None, 1.0, 100.0, 0.6, 1.0, 1989-11-03 11:00:00, 115.0, 2.0, 21.0
