station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, ATMOSPHERIC_PRESSURE, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, WIND_DIRECTION_STD_DEVIATION1, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MAXIMUM_MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1
-5.0, None, None, -5.8, -3.6, 1986-11-25 18:00:00, None, 143.0, None, None, None
-4.6, None, None, -4.6, -4.6, 1986-11-25 19:00:00, None, -2.0, None, None, None
-5.6, None, None, -5.6, -4.6, 1986-11-25 20:00:00, None, None, None, None, None
-5.8, None, None, -5.8, -4.6, 1986-11-25 21:00:00, None, 1.0, None, None, None
-6.3, None, None, -6.3, -4.6, 1986-11-25 22:00:00, None, -7.0, None, None, None
-6.2, None, None, -6.3, -4.6, 1986-11-25 23:00:00, None, -1.0, None, None, None
-5.9, None, None, -6.3, -4.6, 1986-11-26 00:00:00, None, None, None, None, None
-5.8, None, None, -6.3, -4.6, 1986-11-26 01:00:00, None, 3.0, None, None, None
-5.8, None, None, -6.3, -4.6, 1986-11-26 02:00:00, None, -1.0, None, None, None
-5.7, None, None, -6.3, -4.6, 1986-11-26 03:00:00, None, None, None, None, None
-6.1, None, None, -6.3, -4.6, 1986-11-26 04:00:00, None, 8.0, None, None, None
-5.9, None, None, -6.3, -4.6, 1986-11-26 05:00:00, None, 3.0, None, None, None
-6.4, None, None, -6.4, -4.6, 1986-11-26 06:00:00, None, None, None, None, None
-6.4, None, None, -6.4, -6.4, 1986-11-26 07:00:00, None, 28.0, None, None, None
-6.6, None, None, -6.6, -6.4, 1986-11-26 08:00:00, None, 4.0, None, None, None
-6.8, None, None, -6.8, -6.4, 1986-11-26 09:00:00, None, 12.0, None, None, None
-6.4, None, None, -6.8, -6.4, 1986-11-26 10:00:00, None, 8.0, None, None, None
-5.7, None, None, -6.8, -5.7, 1986-11-26 11:00:00, None, 11.0, None, None, None
-6.2, None, None, -6.8, -5.7, 1986-11-26 12:00:00, None, 13.0, None, None, None
-6.1, None, None, -6.8, -5.7, 1986-11-26 13:00:00, None, 0.0, None, None, None
-5.6, None, None, -6.8, -5.6, 1986-11-26 14:00:00, None, 12.0, None, None, None
-5.7, None, None, -6.8, -5.6, 1986-11-26 15:00:00, None, -8.0, None, None, None
-6.0, None, None, -6.8, -5.6, 1986-11-26 16:00:00, None, 8.0, None, None, None
-6.1, None, None, -6.8, -5.6, 1986-11-26 17:00:00, None, 3.0, None, None, None
-6.0, None, None, -6.8, -5.6, 1986-11-26 18:00:00, None, 16.0, None, None, None
-5.9, None, None, -5.9, -5.9, 1986-11-26 19:00:00, None, -6.0, None, None, None
-6.1, None, None, -6.1, -5.9, 1986-11-26 20:00:00, None, 6.0, None, None, None
-6.1, None, None, -6.1, -5.9, 1986-11-26 21:00:00, None, -5.0, None, None, None
-5.6, None, None, -6.1, -5.6, 1986-11-26 22:00:00, None, -3.0, None, None, None
-5.1, None, None, -6.1, -5.1, 1986-11-26 23:00:00, None, -4.0, None, None, None
-5.2, None, None, -6.1, -5.1, 1986-11-27 00:00:00, None, -6.0, None, None, None
-5.1, None, None, -6.1, -5.1, 1986-11-27 01:00:00, None, -3.0, None, None, None
-4.5, None, None, -6.1, -4.5, 1986-11-27 02:00:00, None, -9.0, None, None, None
-4.1, None, None, -6.1, -4.1, 1986-11-27 03:00:00, None, None, None, None, None
-4.3, 133.0, None, -6.1, -4.1, 1986-11-27 04:00:00, None, -7.0, None, None, None
-5.1, None, None, -6.1, -4.1, 1986-11-27 05:00:00, None, -3.0, None, None, None
-4.3, None, None, -6.1, -4.1, 1986-11-27 06:00:00, None, None, None, None, None
-4.4, None, None, -4.4, -4.4, 1986-11-27 07:00:00, None, -7.0, None, None, None
-4.5, None, None, -4.5, -4.4, 1986-11-27 08:00:00, None, 0.0, None, None, None
-4.7, None, None, -4.7, -4.4, 1986-11-27 09:00:00, None, 2.0, None, None, None
-4.8, None, None, -4.8, -4.4, 1986-11-27 10:00:00, None, 2.0, None, None, None
-4.4, None, None, -4.8, -4.4, 1986-11-27 11:00:00, None, 7.0, None, None, None
-4.2, None, None, -4.8, -4.2, 1986-11-27 12:00:00, None, 16.0, None, None, None
-4.1, None, None, -4.8, -4.1, 1986-11-27 13:00:00, None, -5.0, None, None, None
-4.3, None, None, -4.8, -4.1, 1986-11-27 14:00:00, None, 7.0, None, None, None
-4.3, None, None, -4.8, -4.1, 1986-11-27 15:00:00, None, -1.0, None, None, None
-4.9, None, None, -4.9, -4.1, 1986-11-27 16:00:00, None, 7.0, None, None, None
-5.3, None, None, -5.3, -4.1, 1986-11-27 17:00:00, None, -3.0, None, None, None
-5.6, None, None, -5.6, -4.1, 1986-11-27 18:00:00, None, 0.0, None, None, None
-5.5, None, None, -5.5, -5.5, 1986-11-27 19:00:00, None, 7.0, None, None, None
-5.4, None, None, -5.5, -5.4, 1986-11-27 20:00:00, None, -1.0, None, None, None
-5.3, None, None, -5.5, -5.3, 1986-11-27 21:00:00, None, -2.0, None, None, None
-5.2, None, None, -5.5, -5.2, 1986-11-27 22:00:00, None, 3.0, None, None, None
-5.2, None, None, -5.5, -5.2, 1986-11-27 23:00:00, None, 19.0, None, None, None
-5.2, None, None, -5.5, -5.2, 1986-11-28 00:00:00, None, 4.0, None, None, None
-5.2, None, None, -5.5, -5.2, 1986-11-28 01:00:00, None, -1.0, None, None, None
-5.3, None, None, -5.5, -5.2, 1986-11-28 02:00:00, None, 2.0, None, None, None
-5.7, None, None, -5.7, -5.2, 1986-11-28 03:00:00, None, 12.0, None, None, None
-6.0, None, None, -6.0, -5.2, 1986-11-28 04:00:00, None, None, None, None, None
-6.8, None, None, -6.8, -5.2, 1986-11-28 05:00:00, None, 4.0, None, None, None
-7.0, None, None, -7.0, -5.2, 1986-11-28 06:00:00, None, 4.0, None, None, None
-7.3, None, None, -7.3, -7.3, 1986-11-28 07:00:00, None, 3.0, None, None, None
-7.5, None, None, -7.5, -7.3, 1986-11-28 08:00:00, None, 3.0, None, None, None
-7.9, None, None, -7.9, -7.3, 1986-11-28 09:00:00, None, 4.0, None, None, None
-8.0, None, None, -8.0, -7.3, 1986-11-28 10:00:00, None, 8.0, None, None, None
-7.9, None, None, -8.0, -7.3, 1986-11-28 11:00:00, None, -1.0, None, None, None
-7.6, None, None, -8.0, -7.3, 1986-11-28 12:00:00, None, 5.0, None, None, None
-7.6, None, None, -8.0, -7.3, 1986-11-28 13:00:00, None, 10.0, None, None, None
-7.2, None, None, -8.0, -7.2, 1986-11-28 14:00:00, None, -3.0, None, None, None
-7.2, None, None, -8.0, -7.2, 1986-11-28 15:00:00, None, 22.0, None, None, None
-7.3, None, None, -8.0, -7.2, 1986-11-28 16:00:00, None, 8.0, None, None, None
-7.3, None, None, -8.0, -7.2, 1986-11-28 17:00:00, None, 10.0, None, None, None
-7.1, None, None, -8.0, -7.1, 1986-11-28 18:00:00, None, -2.0, None, None, None
-7.1, None, None, -7.1, -7.1, 1986-11-28 19:00:00, None, -8.0, None, None, None
-7.5, None, None, -7.5, -7.1, 1986-11-28 20:00:00, None, -1.0, None, None, None
-7.2, None, None, -7.5, -7.1, 1986-11-28 21:00:00, None, 1.0, None, None, None
-6.7, None, None, -7.5, -6.7, 1986-11-28 22:00:00, None, 5.0, None, None, None
-6.4, None, None, -7.5, -6.4, 1986-11-28 23:00:00, None, 2.0, None, None, None
-6.2, None, None, -7.5, -6.2, 1986-11-29 00:00:00, None, 1.0, None, None, None
-5.4, None, None, -7.5, -5.4, 1986-11-29 01:00:00, None, -6.0, None, None, None
-5.8, None, None, -7.5, -5.4, 1986-11-29 02:00:00, None, 8.0, None, None, None
-4.9, None, None, -7.5, -4.9, 1986-11-29 03:00:00, None, -3.0, None, None, None
-6.1, None, None, -7.5, -4.9, 1986-11-29 04:00:00, None, 16.0, None, None, None
-5.6, None, None, -7.5, -4.9, 1986-11-29 05:00:00, None, 18.0, None, None, None
-5.4, None, None, -7.5, -4.9, 1986-11-29 06:00:00, None, 1.0, None, None, None
-5.4, None, None, -5.4, -5.4, 1986-11-29 07:00:00, None, 8.0, None, None, None
-4.9, None, None, -5.4, -4.9, 1986-11-29 08:00:00, None, -1.0, None, None, None
-4.9, None, None, -5.4, -4.9, 1986-11-29 09:00:00, None, 9.0, None, None, None
-4.4, None, None, -5.4, -4.4, 1986-11-29 10:00:00, None, 2.0, None, None, None
-4.0, None, None, -5.4, 4.0, 1986-11-29 11:00:00, None, 9.0, None, None, None
-4.4, None, None, -5.4, -4.0, 1986-11-29 12:00:00, None, -2.0, None, None, None
-4.9, None, None, -5.4, -4.0, 1986-11-29 13:00:00, None, 16.0, None, None, None
-3.3, None, None, -5.4, -3.3, 1986-11-29 14:00:00, None, 9.0, None, None, None
-3.8, None, None, -5.4, -3.3, 1986-11-29 15:00:00, None, 5.0, None, None, None
