station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, ACTUAL_WIND_DIRECTION, MINIMUM_AIR_TEMPERATURE, ACTUAL_WIND_SPEED, MAXIMUM_AIR_TEMPERATURE, time, WIND_DIRECTION_STD_DEVIATION1, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MAXIMUM_MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1
720.0, -6.861, 189.8, -7.19, 0.747, -6.464, 2010-11-10 19:00:00, 10.26, None, 16.4, 22.23, 189.0
720.0, -6.137, 169.0, -7.19, 0.985, -6.079, 2010-11-10 20:00:00, 8.25, None, 22.81, 26.74, 174.6
720.0, -6.079, 158.5, -7.19, 1.006, -5.906, 2010-11-10 21:00:00, 5.983, None, 23.54, 26.95, 160.2
720.0, -5.686, 156.7, -7.19, 1.232, -5.638, 2010-11-10 22:00:00, 3.195, None, 27.89, 33.37, 156.4
720.0, -5.217, 175.2, -7.19, 1.461, -5.131, 2010-11-10 23:00:00, 8.55, None, 29.01, 37.75, 162.0
720.0, -6.648, 184.4, -7.19, 1.391, -4.903, 2010-11-11 00:00:00, 9.35, None, 35.84, 57.51, 189.7
720.0, -7.9, 147.0, -7.9, 0.973, -4.903, 2010-11-11 01:00:00, 10.87, None, 30.95, 43.11, 163.8
720.0, -8.07, 144.1, -8.65, 1.455, -4.903, 2010-11-11 02:00:00, 3.19, None, 30.09, 36.69, 141.2
720.0, -7.6, 131.6, -8.65, 1.832, -4.903, 2010-11-11 03:00:00, 6.224, None, 38.96, 48.9, 130.0
720.0, -7.28, 146.3, -8.66, 1.226, -4.903, 2010-11-11 04:00:00, 10.73, None, 30.54, 44.24, 135.9
720.0, -7.2, 139.8, -8.66, 0.956, -4.903, 2010-11-11 05:00:00, 4.686, None, 27.69, 33.3, 145.7
720.0, -7.3, 120.7, -8.66, 1.12, -4.903, 2010-11-11 06:00:00, 11.42, None, 26.42, 34.36, 130.9
720.0, -7.45, 92.7, -8.47, 1.873, -7.17, 2010-11-11 07:00:00, 12.5, 0.0, 37.28, 55.18, 112.1
720.0, -9.78, 85.9, -10.04, 1.77, -6.552, 2010-11-11 08:00:00, 17.45, 0.0, 40.57, 56.45, 96.6
720.0, -9.0, 104.2, -10.04, 1.799, -6.552, 2010-11-11 09:00:00, 16.51, 0.0, 38.3, 55.53, 83.8
720.0, -8.54, 89.0, -10.04, 1.94, -6.552, 2010-11-11 10:00:00, 12.67, 0.0, 41.85, 64.99, 92.1
