station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
1.5, 100.0, 0.0, 0.5, 10.5, 1989-12-25 07:30:00, None, None, 0.0
4.0, 99.0, None, 1.5, 4.0, 1989-12-25 16:00:00, None, None, None
4.0, 95.0, 0.0, 1.0, 7.0, 1989-12-26 07:30:00, None, None, 0.0
6.0, 97.0, None, 4.0, 6.0, 1989-12-26 16:00:00, None, None, None
2.5, 95.0, 0.0, 2.0, 9.0, 1989-12-27 07:30:00, None, None, 0.0
5.0, 95.0, None, 2.5, 5.0, 1989-12-27 16:00:00, None, None, None
2.0, 95.0, 0.0, 1.5, 5.0, 1989-12-28 07:30:00, None, None, 0.0
3.0, 93.0, None, 2.0, 3.0, 1989-12-28 16:00:00, None, None, None
4.0, 96.0, 0.0, 1.5, 5.5, 1989-12-29 07:30:00, None, None, 0.0
5.0, 95.0, None, 4.0, 5.0, 1989-12-29 16:00:00, None, None, None
5.0, 95.0, 0.0, 3.0, 5.5, 1989-12-30 07:30:00, None, None, 0.0
6.0, 78.0, None, 5.0, 6.0, 1989-12-30 16:00:00, None, None, None
3.0, 90.0, 0.0, 3.0, 7.5, 1989-12-31 07:30:00, None, None, 0.0
8.0, 70.0, None, 3.0, 8.0, 1989-12-31 16:00:00, None, None, None
2.0, 95.0, None, 0.0, 9.5, 1990-01-01 07:05:00, 0.0, None, None
5.5, 90.0, 0.0, 3.0, 10.5, 1990-01-01 07:30:00, 3.0, None, 0.0
6.0, 75.0, None, 5.5, 6.0, 1990-01-01 16:00:00, None, None, None
0.0, 95.0, 0.0, -1.0, 10.0, 1990-01-02 07:30:00, 6.0, None, 0.0
3.0, 80.0, None, 0.0, 3.0, 1990-01-02 16:00:00, None, None, None
2.5, 100.0, 0.0, -0.5, 5.0, 1990-01-03 07:30:00, 4.0, None, 0.0
2.5, 80.0, 0.0, 2.0, 3.0, 1990-01-03 16:20:00, 0.0, None, 0.0
4.0, 90.0, 0.0, 2.0, 4.5, 1990-01-04 07:30:00, 11.0, None, 0.0
10.0, 65.0, 0.0, 4.0, 10.0, 1990-01-04 16:00:00, 1.0, None, 0.0
5.0, 100.0, 0.0, 3.0, 10.0, 1990-01-05 07:30:00, 2.0, None, 0.0
