station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
1.5, None, 0.0, 0.0, -0.5, 6.5, 1988-11-18 14:01:00, None, 0.0
1.5, None, 0.0, 0.0, -0.5, 6.5, 1988-11-19 07:15:00, None, 0.0
4.0, None, 0.0, 0.0, 1.5, 5.5, 1988-11-19 15:40:00, None, 0.0
1.0, None, 0.0, 0.0, 0.0, 5.0, 1988-11-20 07:11:00, None, 0.0
4.0, None, 0.0, 0.0, -0.5, 6.5, 1988-11-20 15:43:00, None, 0.0
5.0, None, 0.0, 0.0, 2.0, 6.0, 1988-11-21 07:11:00, None, 0.0
6.0, None, 0.0, 0.0, -4.5, 7.5, 1988-11-21 15:20:00, None, 0.0
1.0, None, 0.0, 0.0, 1.0, 7.0, 1988-11-22 07:10:00, None, 0.0
4.0, None, 0.0, 0.0, 0.5, 5.0, 1988-11-22 15:35:00, None, 0.0
4.0, None, 0.0, 0.0, 2.0, 7.0, 1988-11-23 07:15:00, None, 0.0
4.5, None, 0.0, 0.0, 3.5, 7.5, 1988-11-23 13:45:00, None, 0.0
0.0, None, 0.0, 0.0, -1.0, 6.0, 1988-11-24 07:15:00, None, 0.0
2.0, None, 0.0, 0.0, -1.5, 4.5, 1988-11-24 16:32:00, None, 0.0
-3.0, None, 3.0, 2.0, -3.5, 2.5, 1988-11-25 09:00:00, None, 2.0
-1.0, None, 4.0, 3.0, -1.0, 2.5, 1988-11-25 15:20:00, None, 5.0
-4.0, None, 0.0, 0.0, -6.0, -0.5, 1988-11-26 07:28:00, None, 4.0
-5.0, None, 0.0, 0.0, -11.5, 1.0, 1988-11-26 15:35:00, None, 4.0
0.0, None, 1.0, 1.0, -7.0, 0.0, 1988-11-27 07:25:00, None, 4.0
0.5, None, 0.0, 0.0, 0.0, 1.5, 1988-11-27 15:15:00, None, 2.0
-4.0, None, 0.0, 0.0, -5.0, 2.0, 1988-11-28 07:15:00, None, 2.0
0.5, None, 0.0, 0.0, -4.5, 3.0, 1988-11-28 16:37:00, None, 0.0
0.0, None, 0.0, 0.0, -2.0, 1.0, 1988-11-29 07:10:00, None, 1.0
2.0, None, 0.0, 0.0, 0.0, 3.0, 1988-11-29 15:40:00, None, 0.0
-1.0, None, 0.0, 0.0, -1.0, 2.5, 1988-11-30 07:05:00, None, 1.0
4.0, None, 0.0, 0.0, 0.5, 4.0, 1988-11-30 16:00:00, None, 0.0
0.0, None, 0.0, 0.0, 0.0, 4.0, 1988-12-01 07:15:00, None, 0.0
4.5, None, 0.0, 0.0, -6.5, 6.5, 1988-12-01 15:40:00, None, 0.0
2.0, None, 0.0, 0.0, 1.0, 5.5, 1988-12-02 07:15:00, None, 0.0
1.0, None, 0.0, 0.0, -6.0, 4.0, 1988-12-02 15:25:00, None, 0.0
1.0, None, 0.0, 0.0, -1.0, 4.0, 1988-12-03 07:30:00, None, 0.0
1.0, None, 0.0, 0.0, -5.5, 4.0, 1988-12-03 15:20:00, None, 0.0
0.0, None, 0.0, 0.0, 0.0, 4.0, 1988-12-04 07:30:00, None, 0.0
2.5, None, 0.0, 0.0, 0.0, 3.0, 1988-12-04 15:45:00, None, 0.0
0.0, None, 0.0, 0.0, 0.0, 2.0, 1988-12-05 07:15:00, None, 0.0
1.0, None, 0.0, 0.0, -6.5, 1.5, 1988-12-05 18:10:00, None, 0.0
-1.0, None, 1.0, 1.0, -1.0, None, 1988-12-06 07:15:00, None, 1.0
2.0, None, 0.0, 0.0, -1.0, 2.5, 1988-12-06 13:50:00, None, 0.0
-1.0, None, 0.0, 0.0, -1.0, -1.0, 1988-12-07 07:30:00, None, 0.0
4.0, None, 0.0, 0.0, -0.5, 4.0, 1988-12-07 16:12:00, None, 0.0
-1.0, None, 4.0, 4.0, -3.0, -1.0, 1988-12-08 07:00:00, None, 4.0
0.5, None, 6.0, 2.0, -1.5, 1.0, 1988-12-08 15:55:00, None, 6.0
0.0, None, 0.0, 0.1, -1.0, 2.0, 1988-12-09 07:10:00, None, 6.0
