station_observations
CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-1.0, 0.0, -2.0, 0.0, 1990-12-06 06:00:00, None, 17.0
3.5, 0.0, -1.0, 4.5, 1990-12-06 14:00:00, None, 15.0
-4.5, 0.0, -4.5, 3.5, 1990-12-07 06:00:00, None, 14.0
-4.0, 0.0, -4.0, 0.0, 1990-12-07 07:00:00, 0.0, 24.0
2.5, 0.0, -5.5, 4.0, 1990-12-07 14:00:00, None, 14.0
-1.0, 0.0, -5.5, 4.5, 1990-12-08 06:00:00, None, 14.0
0.5, 0.0, -1.0, 1.0, 1990-12-08 14:00:00, None, 13.0
-0.5, 2.0, -0.5, 1.5, 1990-12-09 05:55:00, None, 15.0
0.5, 1.0, -0.5, 1.0, 1990-12-09 14:00:00, None, 17.0
0.0, 2.0, -0.5, 1.0, 1990-12-10 07:15:00, None, 17.0
1.0, 0.0, -0.5, 2.5, 1990-12-10 14:30:00, None, 15.0
0.5, 1.0, -0.5, 1.5, 1990-12-11 06:00:00, None, 16.0
2.5, 0.0, 0.0, 3.5, 1990-12-11 14:00:00, None, 15.0
-4.5, 0.0, -6.0, 3.0, 1990-12-12 06:00:00, None, 15.0
-2.0, 0.0, -7.0, -1.5, 1990-12-12 14:00:00, None, 15.0
-4.0, 0.0, -5.0, 0.5, 1990-12-13 06:00:00, None, 15.0
-1.0, 1.0, -4.0, -0.5, 1990-12-13 14:00:00, None, 15.0
-4.0, 0.0, -6.0, 0.5, 1990-12-14 06:00:00, None, 16.0
-1.5, 0.0, -4.5, -1.0, 1990-12-14 14:00:00, None, 16.0
-2.5, 2.0, -4.5, -1.0, 1990-12-15 06:00:00, None, 18.0
-0.5, 14.0, -2.5, 0.0, 1990-12-15 14:00:00, None, 32.0
-8.0, 1.0, -9.0, 0.0, 1990-12-16 07:00:00, None, 31.0
-3.5, 0.1, -8.0, -3.0, 1990-12-16 14:00:00, None, 31.0
-4.0, 14.0, -5.0, -2.5, 1990-12-17 06:00:00, None, 40.0
-2.5, 10.0, -4.5, -2.0, 1990-12-17 14:00:00, None, 51.0
-2.0, 5.0, -3.0, 1.0, 1990-12-18 06:00:00, None, 53.0
-10.5, 0.0, -10.5, -1.0, 1990-12-18 14:00:00, None, 50.0
-25.5, 0.0, -25.5, -9.5, 1990-12-19 06:00:00, None, 49.0
-14.0, 0.0, -27.0, -9.5, 1990-12-19 14:00:00, None, 49.0
-30.0, 0.0, -30.0, -14.0, 1990-12-20 06:00:00, None, 49.0
-18.0, 0.0, -31.0, -16.0, 1990-12-20 14:00:00, None, 48.0
-31.0, 0.0, -32.0, -18.0, 1990-12-21 06:00:00, None, 48.0
-20.5, 0.0, -31.0, -19.5, 1990-12-21 14:00:00, None, 37.0
-22.0, 0.1, -27.0, -20.5, 1990-12-22 06:00:00, None, 37.0
-19.0, 0.0, -23.0, -16.0, 1990-12-22 14:00:00, None, 37.0
-23.0, 0.0, -28.0, -18.0, 1990-12-23 06:30:00, None, 37.0
-16.0, 0.0, -23.0, -15.0, 1990-12-23 14:00:00, None, 37.0
-14.0, 7.0, -16.0, -13.0, 1990-12-24 06:00:00, None, 42.0
-10.5, 1.0, -14.0, -10.0, 1990-12-24 14:00:00, None, 742.0
-13.0, 8.0, -18.0, -9.0, 1990-12-25 08:00:00, None, 50.0
-10.0, 7.0, -13.0, -9.0, 1990-12-25 16:00:00, None, 55.0
-11.0, 0.0, -14.0, -9.0, 1990-12-26 06:30:00, None, 52.0
-9.0, 6.0, -11.0, -8.5, 1990-12-26 16:00:00, None, 57.0
-9.0, 13.0, -11.0, -8.0, 1990-12-27 07:00:00, None, 65.0
-6.0, 1.0, -11.0, -5.5, 1990-12-27 14:50:00, None, 64.0
-18.0, 0.0, -18.0, -4.5, 1990-12-28 06:00:00, None, 50.0
-19.0, 0.0, -20.0, -17.0, 1990-12-28 14:05:00, None, 50.0
-37.0, 0.0, -37.0, -19.0, 1990-12-29 06:30:00, None, 50.0
-23.5, 0.1, -37.5, -22.5, 1990-12-29 14:30:00, None, 50.0
-21.5, 3.0, -23.5, -20.5, 1990-12-30 06:30:00, None, 53.0
-18.0, 6.0, -22.0, -17.5, 1990-12-30 14:30:00, None, 56.0
-16.0, 23.0, -21.5, -15.5, 1990-12-31 07:00:00, None, 79.0
-12.0, 8.0, -16.0, -11.5, 1990-12-31 14:30:00, None, 82.0
-12.5, 2.0, -13.0, -11.0, 1991-01-01 07:00:00, None, 78.0
-9.5, 0.1, -14.0, -7.0, 1991-01-01 14:30:00, None, 74.0
-16.0, 2.0, -16.0, -9.5, 1991-01-02 08:00:00, None, 71.0
-9.5, 0.0, -18.0, -7.0, 1991-01-02 15:00:00, None, 68.0
-13.0, 0.1, -19.0, -9.0, 1991-01-03 06:00:00, None, 66.0
-11.0, 0.1, -13.0, -10.0, 1991-01-03 14:30:00, None, 64.0
-14.5, 0.1, -14.5, -9.5, 1991-01-04 06:00:00, None, 62.0
-13.5, 0.0, -15.5, -11.5, 1991-01-04 14:30:00, None, 61.0
-17.0, 0.0, -17.0, -12.0, 1991-01-05 07:00:00, None, 60.0
-15.0, 0.0, -17.0, -13.5, 1991-01-05 15:30:00, None, 59.0
-27.0, 0.0, -27.0, -15.0, 1991-01-06 06:30:00, None, 59.0
-18.0, 0.0, -28.5, -17.0, 1991-01-06 14:30:00, None, 58.0
-17.0, 3.0, -17.0, -16.0, 1991-01-07 06:30:00, None, 58.0
-13.0, 2.0, -17.0, -13.0, 1991-01-07 14:30:00, None, 61.0
-19.0, 3.0, -19.0, -12.0, 1991-01-08 07:30:00, None, 64.0
-13.0, 0.0, -19.0, -9.0, 1991-01-08 14:30:00, None, 64.0
-16.5, 0.1, -22.0, -12.0, 1991-01-09 05:30:00, None, 63.0
-12.0, 6.0, -16.5, -11.0, 1991-01-09 14:30:00, None, 70.0
-10.0, 3.0, -12.0, -9.0, 1991-01-10 05:30:00, None, 68.0
-6.0, 0.0, -10.0, -5.5, 1991-01-10 14:30:00, None, 67.0
-6.0, 3.0, -8.0, -5.5, 1991-01-11 05:30:00, None, 69.0
-3.0, 3.0, -7.0, 0.0, 1991-01-11 14:50:00, None, 72.0
-1.5, 4.0, -7.0, -1.0, 1991-01-12 08:00:00, None, 74.0
0.5, 1.0, -1.5, 1.0, 1991-01-12 15:00:00, None, 73.0
-1.0, 0.0, -1.0, 1.5, 1991-01-13 05:00:00, None, 70.0
1.5, 0.0, -1.0, 5.0, 1991-01-13 14:30:00, None, 67.0
0.0, 0.0, -0.5, 2.5, 1991-01-14 06:00:00, None, 63.0
0.5, 0.0, -0.5, 1.5, 1991-01-14 14:30:00, None, 60.0
0.0, 0.0, 0.0, 1.5, 1991-01-15 05:30:00, None, 57.0
2.0, 0.0, -0.5, 3.0, 1991-01-15 14:30:00, None, 55.0
-0.5, 1.0, -0.5, 2.0, 1991-01-16 05:45:00, None, 53.0
1.5, 0.0, -0.5, 2.0, 1991-01-16 14:45:00, None, 52.0
0.0, 0.0, 0.0, 2.0, 1991-01-17 05:30:00, None, 50.0
3.0, 0.0, 0.0, 3.0, 1991-01-17 14:00:00, None, 50.0
0.5, 0.0, -0.5, 3.0, 1991-01-18 05:30:00, None, 47.0
4.0, 0.0, -0.5, 4.5, 1991-01-18 14:30:00, None, 45.0
-10.0, 0.0, -10.0, 4.0, 1991-01-19 05:45:00, None, 45.0
-1.0, 0.0, -10.0, -0.5, 1991-01-19 14:30:00, None, 44.0
-15.5, 0.0, -15.5, -1.0, 1991-01-20 06:30:00, None, 44.0
-4.0, 0.0, -17.0, -3.0, 1991-01-20 15:00:00, None, 44.0
-16.0, 0.0, -16.0, -3.0, 1991-01-21 07:00:00, None, 44.0
-6.5, 0.0, -16.0, -5.5, 1991-01-21 14:30:00, None, 44.0
-12.0, 0.0, -16.0, -5.5, 1991-01-22 05:30:00, None, 44.0
-5.0, 0.0, -12.0, -4.0, 1991-01-22 14:00:00, None, 44.0
-12.0, 0.0, -15.0, -4.0, 1991-01-23 05:30:00, None, 44.0
-6.5, 0.0, -12.5, -5.5, 1991-01-23 15:30:00, None, 44.0
-14.0, 1.0, -14.0, -5.5, 1991-01-24 05:30:00, None, 45.0
-6.0, 0.0, -16.0, -5.0, 1991-01-24 16:00:00, None, 46.0
-14.0, 1.0, -16.0, -4.0, 1991-01-25 05:30:00, None, 46.0
-5.5, 0.0, -14.5, -4.0, 1991-01-25 15:00:00, None, 46.0
-9.5, 0.0, -12.0, -4.0, 1991-01-26 06:30:00, None, 46.0
-5.5, 0.0, -10.0, -5.0, 1991-01-26 15:00:00, None, 46.0
-9.5, 0.0, -12.0, -4.0, 1991-01-27 06:30:00, None, 46.0
-11.5, 0.0, -15.0, -4.5, 1991-01-27 06:45:00, None, 46.0
-5.0, 0.0, -12.0, -3.0, 1991-01-27 15:30:00, None, 45.0
-17.0, 0.0, -18.0, -5.0, 1991-01-28 06:45:00, None, 45.0
-4.0, 0.0, -19.0, -3.0, 1991-01-28 14:30:00, None, 45.0
-20.5, 0.0, -22.0, -3.0, 1991-01-29 05:30:00, None, 45.0
-4.0, 0.0, -21.0, -3.0, 1991-01-29 16:50:00, None, 45.0
-13.0, 0.0, -21.0, -3.0, 1991-01-30 06:00:00, None, 45.0
-7.0, 0.1, -13.0, -6.5, 1991-01-30 16:00:00, None, 45.0
-7.0, 18.0, -8.5, -6.0, 1991-01-31 05:30:00, None, 63.0
-4.0, 8.0, -7.0, -4.0, 1991-01-31 15:30:00, None, 71.0
-3.5, 0.0, -6.0, -3.0, 1991-02-01 06:00:00, None, 69.0
0.5, 0.0, -3.5, 1.0, 1991-02-01 14:30:00, None, 67.0
1.0, 0.0, 0.0, 3.5, 1991-02-02 06:30:00, None, 57.0
3.0, 0.0, 1.0, 3.5, 1991-02-02 15:15:00, None, 53.0
0.0, 0.0, 0.0, 3.0, 1991-02-03 07:00:00, None, 51.0
3.5, 0.0, 0.0, 4.5, 1991-02-03 14:50:00, None, 51.0
1.0, 0.0, 0.0, 4.5, 1991-02-04 07:00:00, None, 49.0
3.0, None, 1.0, 5.0, 1991-02-04 15:00:00, None, 47.0
0.5, 0.0, 0.5, 4.5, 1991-02-05 05:30:00, None, 43.0
8.5, None, 0.5, 8.5, 1991-02-05 14:50:00, None, 43.0
-3.0, 0.0, -3.0, 8.5, 1991-02-06 05:30:00, None, 38.0
3.5, 0.0, -3.0, 7.0, 1991-02-06 15:30:00, None, 38.0
0.0, 0.0, -3.0, 4.0, 1991-02-07 05:30:00, None, 38.0
2.0, 0.0, 0.0, 2.0, 1991-02-07 15:30:00, None, 37.0
0.5, 0.0, 0.5, 3.0, 1991-02-08 05:30:00, None, 34.0
3.0, 0.0, 0.0, 4.5, 1991-02-08 14:30:00, None, 33.0
0.0, 0.0, 0.0, 4.0, 1991-02-09 07:30:00, None, 32.0
3.0, 0.0, 0.0, 5.0, 1991-02-09 16:30:00, None, 31.0
0.0, 0.0, 0.0, 3.5, 1991-02-10 07:15:00, None, 31.0
4.0, 0.0, 0.0, 5.0, 1991-02-10 15:00:00, None, 29.0
0.0, 0.0, -0.5, 5.0, 1991-02-11 07:00:00, None, 28.0
2.5, 0.0, -0.5, 3.0, 1991-02-11 16:30:00, None, 28.0
0.0, 0.0, 0.0, 3.0, 1991-02-12 05:30:00, None, 27.0
1.5, 0.0, 0.0, 4.0, 1991-02-12 17:00:00, None, 26.0
-0.5, 0.0, -0.5, 3.0, 1991-02-13 05:15:00, None, 25.0
3.0, 0.0, -0.5, 5.5, 1991-02-13 15:30:00, None, 25.0
0.0, 0.0, 0.0, 4.0, 1991-02-14 05:00:00, None, 24.0
2.0, 0.0, 0.0, 2.5, 1991-02-14 15:30:00, None, 21.0
0.5, 0.0, 0.0, 2.5, 1991-02-15 07:00:00, None, 20.0
2.5, 0.0, 0.0, 3.5, 1991-02-15 15:00:00, None, 20.0
0.5, 0.0, 0.5, 3.5, 1991-02-16 07:00:00, None, 19.0
5.0, 0.0, 0.5, 5.5, 1991-02-16 15:30:00, None, 18.0
0.0, 0.0, 0.0, 5.0, 1991-02-17 06:45:00, None, 17.0
4.0, 0.0, 0.0, 4.5, 1991-02-17 15:45:00, None, 16.0
0.0, 0.0, 0.0, 4.5, 1991-02-18 07:00:00, None, 17.0
3.0, 0.0, 0.0, 4.0, 1991-02-18 15:00:00, None, 16.0
0.0, 0.1, 0.0, 4.0, 1991-02-19 07:30:00, None, 15.0
2.5, 0.0, 0.0, 4.5, 1991-02-19 15:45:00, None, 14.0
0.0, 0.0, -0.5, 3.5, 1991-02-20 07:00:00, None, 13.0
3.0, 0.0, 0.0, 3.5, 1991-02-20 15:00:00, None, 12.0
-2.0, 0.0, -2.0, 4.0, 1991-02-21 06:30:00, None, 12.0
4.0, 0.0, -2.0, 4.5, 1991-02-21 14:50:00, None, 12.0
-1.5, 0.0, -2.0, 4.0, 1991-02-22 07:00:00, None, 11.0
7.0, 0.0, -2.0, 7.5, 1991-02-22 15:15:00, None, 10.0
