station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
5.0, 100.0, None, None, None, None, 1986-11-04 18:00:00, None, None, None
-1.0, 99.0, None, None, -1.0, 5.0, 1986-11-05 06:00:00, None, None, None
-2.0, 97.0, None, None, -2.0, 0.0, 1986-11-05 18:00:00, None, None, None
-5.0, 97.0, None, None, -5.0, -2.0, 1986-11-06 06:00:00, None, None, None
-4.0, 97.0, None, None, -5.0, 1.5, 1986-11-06 18:00:00, None, None, None
-6.0, 95.0, None, None, -6.0, -4.0, 1986-11-07 06:00:00, None, None, None
-8.0, 93.0, None, None, -8.0, 2.0, 1986-11-07 18:00:00, None, None, None
-21.0, 81.0, None, None, -21.0, -8.0, 1986-11-08 06:00:00, None, None, None
-22.0, 90.0, None, None, -22.0, -14.0, 1986-11-08 18:00:00, None, None, None
-22.0, 83.0, None, None, -23.0, -21.0, 1986-11-09 06:00:00, None, None, None
-23.0, 92.0, None, None, -23.0, -11.0, 1986-11-09 18:00:00, None, None, None
-15.0, 92.0, None, None, -23.5, -15.0, 1986-11-10 06:00:00, None, None, None
-9.0, 97.0, None, None, -15.0, -8.0, 1986-11-10 18:00:00, None, None, None
-5.5, 96.0, None, None, -9.0, -5.5, 1986-11-11 06:00:00, None, None, None
-11.0, 96.0, None, None, -11.0, -5.0, 1986-11-11 18:00:00, None, None, None
-14.0, 95.0, None, None, -14.0, -11.0, 1986-11-12 06:00:00, None, None, None
-7.0, 98.0, None, None, -14.0, -6.0, 1986-11-12 18:00:00, None, None, None
-5.0, 97.0, None, None, -7.5, -5.0, 1986-11-13 06:00:00, None, None, None
-7.0, 99.0, None, None, -7.0, -4.0, 1986-11-13 18:00:00, None, None, None
-7.0, 95.0, None, None, -9.0, -7.0, 1986-11-14 06:00:00, None, None, None
-8.5, 98.0, None, None, -8.5, -7.0, 1986-11-14 18:00:00, None, None, None
-4.5, 96.0, None, None, -9.0, -4.5, 1986-11-15 06:00:00, None, None, None
-4.0, 99.0, None, None, -4.5, -3.0, 1986-11-15 18:00:00, None, None, None
-5.0, 98.0, None, None, -7.0, -4.0, 1986-11-16 06:00:00, None, None, None
-5.0, 96.0, None, None, -5.0, -3.0, 1986-11-16 18:00:00, None, None, None
-10.0, 93.0, None, None, -10.0, -5.0, 1986-11-17 06:00:00, None, None, None
-7.0, 98.0, None, None, -10.0, -3.0, 1986-11-17 18:00:00, None, None, None
-5.0, 98.0, None, None, -7.0, -5.0, 1986-11-18 06:00:00, None, None, None
-2.0, 99.0, None, None, -5.0, -2.0, 1986-11-18 18:00:00, None, None, None
-4.5, 95.0, None, None, -4.5, -2.0, 1986-11-19 06:00:00, None, None, None
-2.0, 100.0, None, None, -4.5, -2.0, 1986-11-19 18:00:00, None, None, None
-1.0, 97.0, None, None, -2.0, -0.5, 1986-11-20 06:00:00, None, None, None
-2.0, 96.0, None, None, -2.0, 0.0, 1986-11-20 18:00:00, None, None, None
-6.0, 91.0, None, None, -6.0, -2.0, 1986-11-21 06:00:00, None, None, None
-8.0, 97.0, None, None, -8.0, -1.0, 1986-11-21 18:00:00, None, None, None
-5.0, 92.0, None, None, -8.0, -4.0, 1986-11-22 06:00:00, None, None, None
-4.0, 100.0, None, None, -5.0, -0.5, 1986-11-22 18:00:00, None, None, None
0.0, 99.0, None, None, -4.0, 0.0, 1986-11-23 06:00:00, None, None, None
-2.0, 95.0, None, None, -2.0, 1.0, 1986-11-23 18:00:00, None, None, None
-3.0, 90.0, None, None, -3.0, -2.0, 1986-11-24 06:00:00, None, None, None
-7.0, 76.0, None, None, -7.0, -2.0, 1986-11-24 18:00:00, None, None, None
-4.0, 71.0, None, None, -7.0, -4.0, 1986-11-25 06:00:00, None, None, None
-5.0, 97.0, None, None, -5.0, -1.0, 1986-11-25 18:00:00, None, None, None
-2.5, 77.0, None, None, -6.0, -2.5, 1986-11-26 06:00:00, None, None, None
-5.5, 98.0, None, None, -6.0, -2.0, 1986-11-26 18:00:00, None, None, None
-3.5, 94.0, None, None, -5.5, -3.5, 1986-11-27 06:00:00, None, None, None
-8.0, 97.0, None, None, -8.0, -3.5, 1986-11-27 18:00:00, None, None, None
-6.0, 98.0, None, None, -14.0, -6.0, 1986-11-28 06:00:00, None, None, None
-15.5, 96.0, None, None, -15.5, -4.0, 1986-11-28 18:00:00, None, None, None
-6.0, 95.0, None, None, -18.0, -6.0, 1986-11-29 06:00:00, None, None, None
-7.0, 96.0, None, None, -7.5, -4.0, 1986-11-29 18:00:00, None, None, None
-3.0, 90.0, None, None, -7.0, -3.0, 1986-11-30 06:00:00, None, None, None
-5.0, 99.0, None, None, -5.0, -3.0, 1986-11-30 18:00:00, None, None, None
-5.0, 97.0, None, None, -5.0, -3.0, 1986-12-01 06:00:00, None, None, None
-15.0, 96.0, None, None, -15.0, -5.0, 1986-12-01 18:00:00, None, None, None
-8.5, 97.0, None, None, -16.0, -8.0, 1986-12-02 06:00:00, None, None, None
-18.0, 94.0, None, None, -18.0, -8.5, 1986-12-02 18:00:00, None, None, None
-11.0, 95.0, None, None, -20.5, -11.0, 1986-12-03 06:00:00, None, None, None
-16.5, 96.0, None, None, -16.5, -8.5, 1986-12-03 18:00:00, None, None, None
-9.0, 97.0, None, None, -16.5, -9.0, 1986-12-04 06:00:00, None, None, None
-8.5, 97.0, None, None, -9.0, -5.5, 1986-12-04 18:00:00, None, None, None
-9.0, 97.0, None, None, -10.0, -8.0, 1986-12-05 06:00:00, None, None, None
-14.0, None, None, None, -14.0, -8.0, 1986-12-05 18:00:00, None, None, None
-3.5, 97.0, None, 40.0, -24.0, 6.0, 1986-12-07 09:50:00, 30.0, None, 47.0
None, 100.0, None, None, None, None, 1986-12-07 18:00:00, None, None, None
-12.0, 95.0, None, None, -13.0, None, 1986-12-08 06:00:00, None, None, None
-15.0, 98.0, None, None, -15.0, -6.5, 1986-12-08 18:00:00, None, None, None
