station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
None, None, 2.0, 5.0, 1977-10-29 23:59:00, None, None
None, None, -13.0, -11.0, 1977-11-18 23:59:00, None, None
None, None, -15.0, -12.0, 1977-11-19 23:59:00, None, None
None, None, -16.0, -12.0, 1977-11-20 23:59:00, None, None
None, None, -20.0, -14.0, 1977-11-21 23:59:00, None, None
None, None, -18.0, -14.0, 1977-11-22 23:59:00, None, None
None, None, -18.0, -10.0, 1977-11-23 23:59:00, None, None
None, None, -6.0, -2.0, 1977-11-24 23:59:00, None, None
None, None, -4.0, 2.0, 1977-11-25 23:59:00, None, None
None, None, -4.0, -2.0, 1977-11-26 23:59:00, None, None
None, None, -5.0, -2.0, 1977-11-27 23:59:00, None, None
None, None, -2.0, 1.0, 1977-11-28 23:59:00, None, None
None, None, -4.0, -1.0, 1977-11-29 23:59:00, None, None
None, None, -5.0, -4.0, 1977-11-30 23:59:00, None, None
None, None, -5.0, 0.0, 1977-12-01 23:59:00, None, None
None, None, -1.0, 2.0, 1977-12-02 23:59:00, None, None
None, None, -6.0, 0.0, 1977-12-03 23:59:00, None, None
None, None, -9.0, -8.0, 1977-12-04 23:59:00, None, None
None, None, -12.0, -10.0, 1977-12-05 23:59:00, None, None
None, None, -10.0, -2.0, 1977-12-06 23:59:00, None, None
None, None, -18.0, -6.0, 1977-12-07 23:59:00, None, None
None, None, -22.0, -20.0, 1977-12-08 23:59:00, None, None
None, None, -16.0, None, 1977-12-09 23:59:00, None, None
None, None, -7.0, None, 1977-12-10 23:59:00, None, None
None, None, -2.0, 0.0, 1977-12-11 23:59:00, None, None
None, None, -5.0, -2.0, 1977-12-12 23:59:00, None, None
None, None, -2.0, -1.0, 1977-12-13 23:59:00, None, None
None, None, -1.0, 0.0, 1977-12-14 23:59:00, None, None
None, None, -4.0, -2.0, 1977-12-15 23:59:00, None, None
None, None, -7.0, -6.0, 1977-12-16 23:59:00, None, None
None, None, -10.0, -6.0, 1977-12-17 23:59:00, None, None
None, None, -8.0, -7.0, 1977-12-18 23:59:00, None, None
None, None, -10.0, -7.0, 1977-12-19 23:59:00, None, None
None, None, -14.0, -3.0, 1977-12-20 23:59:00, None, None
None, None, -10.0, -2.0, 1977-12-21 23:59:00, None, None
None, None, -9.0, -4.0, 1977-12-22 23:59:00, None, None
None, None, -13.0, -8.0, 1977-12-23 23:59:00, None, None
None, None, -16.0, -5.0, 1977-12-24 23:59:00, None, None
None, None, -6.0, -4.0, 1977-12-25 23:59:00, None, None
None, None, -10.0, -8.0, 1977-12-26 23:59:00, None, None
None, None, -11.0, -5.0, 1977-12-27 23:59:00, None, None
None, None, -11.0, -3.0, 1977-12-28 23:59:00, None, None
None, None, -11.0, -8.0, 1977-12-29 23:59:00, None, None
None, None, -15.0, -12.0, 1977-12-30 23:59:00, None, None
None, None, -18.0, -11.0, 1977-12-31 23:59:00, None, None
None, None, -16.0, -11.0, 1978-01-01 23:59:00, None, None
None, None, -17.0, -9.0, 1978-01-02 23:59:00, None, None
None, None, -17.0, -13.0, 1978-01-03 23:59:00, None, None
None, None, -20.0, -4.0, 1978-01-04 23:59:00, None, None
None, None, -18.0, -3.0, 1978-01-05 23:59:00, None, None
None, None, -9.0, -8.0, 1978-01-06 23:59:00, None, None
None, None, -10.0, -5.0, 1978-01-07 23:59:00, None, None
None, None, -5.0, -2.0, 1978-01-08 23:59:00, None, None
None, None, -6.0, -1.0, 1978-01-09 23:59:00, None, None
None, None, -8.0, -2.0, 1978-01-10 23:59:00, None, None
None, None, -13.0, -5.0, 1978-01-11 23:59:00, None, None
None, None, -5.0, -2.0, 1978-01-12 23:59:00, None, None
None, None, -10.0, -6.0, 1978-01-13 23:59:00, None, None
None, None, -6.0, -3.0, 1978-01-14 23:59:00, None, None
None, None, -2.0, -1.0, 1978-01-15 23:59:00, None, None
None, None, -6.0, -2.0, 1978-01-16 23:59:00, None, None
None, None, -5.0, -1.0, 1978-01-17 23:59:00, None, None
None, None, -5.0, -1.0, 1978-01-18 23:59:00, None, None
None, None, -4.0, -1.0, 1978-01-19 23:59:00, None, None
None, None, -2.0, 0.0, 1978-01-20 23:59:00, None, None
None, None, -5.0, -1.0, 1978-01-21 23:59:00, None, None
None, None, -8.0, -6.0, 1978-01-22 23:59:00, None, None
None, None, -7.0, -6.0, 1978-01-23 23:59:00, None, None
None, None, -8.0, -1.0, 1978-01-24 23:59:00, None, None
None, None, -3.0, -2.0, 1978-01-25 23:59:00, None, None
None, None, -5.0, -4.0, 1978-01-26 23:59:00, None, None
None, None, -7.0, -4.0, 1978-01-27 23:59:00, None, None
None, None, -9.0, -8.0, 1978-01-28 23:59:00, None, None
None, None, -11.0, -9.0, 1978-01-29 23:59:00, None, None
None, None, -16.0, -10.0, 1978-01-30 23:59:00, None, None
None, None, -17.0, -16.0, 1978-01-31 23:59:00, None, None
None, None, -17.0, -15.0, 1978-02-01 23:59:00, None, None
None, None, -17.0, -3.0, 1978-02-02 23:59:00, None, None
None, None, -4.0, -2.0, 1978-02-03 23:59:00, None, None
None, None, -4.0, 1.0, 1978-02-04 23:59:00, None, None
None, None, -3.0, 1.0, 1978-02-05 23:59:00, None, None
None, None, -3.0, 2.0, 1978-02-06 23:59:00, None, None
None, None, -4.0, 1.0, 1978-02-07 23:59:00, None, None
None, None, -4.0, -1.0, 1978-02-08 23:59:00, None, None
None, None, -5.0, -3.0, 1978-02-09 23:59:00, None, None
None, None, -12.0, -5.0, 1978-02-10 23:59:00, None, None
None, None, -12.0, -6.0, 1978-02-11 23:59:00, None, None
None, None, -8.0, -6.0, 1978-02-12 23:59:00, None, None
None, None, -13.0, -5.0, 1978-02-13 23:59:00, None, None
None, None, -6.0, 0.0, 1978-02-14 23:59:00, None, None
None, None, -8.0, -5.0, 1978-02-15 23:59:00, None, None
None, None, -12.0, -2.0, 1978-02-16 23:59:00, None, None
None, None, -10.0, -3.5, 1978-02-17 23:59:00, None, None
None, None, -3.0, -1.0, 1978-02-18 23:59:00, None, None
None, None, -1.0, 5.0, 1978-02-19 23:59:00, None, None
None, None, -2.0, 9.0, 1978-02-20 23:59:00, None, None
None, None, -1.0, 2.0, 1978-02-21 23:59:00, None, None
None, None, -1.0, 6.0, 1978-02-22 23:59:00, None, None
None, None, -4.0, 1.0, 1978-02-23 23:59:00, None, None
None, None, -9.0, -2.0, 1978-02-24 23:59:00, None, None
None, None, -7.0, -3.0, 1978-02-25 23:59:00, None, None
None, None, -12.0, -2.0, 1978-02-26 23:59:00, None, None
None, None, -12.0, -2.0, 1978-02-27 23:59:00, None, None
None, None, -12.0, -6.0, 1978-02-28 23:59:00, None, None
None, None, -14.0, -4.0, 1978-03-01 23:59:00, None, None
None, None, -11.0, -5.0, 1978-03-02 23:59:00, None, None
None, None, -11.0, -3.0, 1978-03-03 23:59:00, None, None
None, None, -10.0, 2.0, 1978-03-04 23:59:00, None, None
None, None, -7.0, 2.0, 1978-03-05 23:59:00, None, None
None, None, -3.0, 2.0, 1978-03-06 23:59:00, None, None
None, None, -2.0, 1.0, 1978-03-07 23:59:00, None, None
None, None, -4.0, 1.0, 1978-03-08 23:59:00, None, None
None, None, -4.0, -1.0, 1978-03-09 23:59:00, None, None
None, None, -7.0, 2.0, 1978-03-10 23:59:00, None, None
None, None, -5.0, -2.0, 1978-03-11 23:59:00, None, None
None, None, -10.0, -2.0, 1978-03-12 23:59:00, None, None
None, None, -6.0, -3.0, 1978-03-13 23:59:00, None, None
None, None, -7.0, -2.0, 1978-03-14 23:59:00, None, None
None, None, -10.0, 2.0, 1978-03-15 23:59:00, None, None
None, None, -5.0, 3.0, 1978-03-16 23:59:00, None, None
None, None, -2.0, 4.0, 1978-03-17 23:59:00, None, None
None, None, -2.0, 1.0, 1978-03-18 23:59:00, None, None
None, None, -1.0, 3.0, 1978-03-19 23:59:00, None, None
None, None, -2.0, 3.0, 1978-03-20 23:59:00, None, None
None, None, -1.0, 8.0, 1978-03-21 23:59:00, None, None
None, None, -2.0, 7.0, 1978-03-22 23:59:00, None, None
None, None, 0.0, 2.0, 1978-03-23 23:59:00, None, None
None, None, -2.0, 2.0, 1978-03-24 23:59:00, None, None
