station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW
None, None, None, None, 1980-01-10 06:00:00, 21.0
-4.0, 96.0, -4.0, -2.0, 1987-12-07 06:00:00, 4.0
-12.0, 89.0, -13.0, -9.5, 1987-12-15 18:00:00, 0.0
-11.0, 85.0, -11.0, -10.0, 1987-12-18 18:00:00, 0.0
-11.0, 78.0, -11.0, -10.0, 1987-12-19 06:00:00, 0.0
-12.0, 82.0, -12.0, -9.0, 1987-12-19 18:00:00, 0.0
-9.0, 94.0, -12.0, -9.0, 1987-12-20 06:00:00, 1.0
-9.0, 94.0, -9.0, -8.0, 1987-12-20 18:00:00, 1.0
-9.0, 89.0, -9.0, -8.0, 1987-12-21 06:00:00, 1.0
-9.0, 83.0, -9.0, -7.0, 1987-12-21 18:00:00, 0.0
-13.0, 95.0, -13.0, -9.0, 1987-12-22 06:00:00, 0.0
-14.0, 89.0, -14.0, -11.0, 1987-12-22 18:00:00, 0.0
-15.0, 90.0, -15.0, -12.0, 1987-12-23 06:00:00, 0.0
-9.0, 85.0, -15.0, -9.0, 1987-12-23 18:00:00, 0.0
-4.0, 48.0, -9.0, -4.0, 1987-12-24 06:00:00, 0.0
-2.0, 48.0, -4.0, -1.0, 1987-12-24 18:00:00, 0.0
-1.0, 48.0, -2.0, 1.0, 1987-12-25 06:00:00, 0.0
-1.0, 40.0, -1.0, 2.0, 1987-12-25 18:00:00, 0.0
2.0, 33.0, -2.0, 2.0, 1987-12-26 06:00:00, 0.0
2.0, 40.0, 0.0, 4.0, 1987-12-26 18:00:00, 0.0
-3.0, 67.0, -3.0, 1.0, 1987-12-27 06:00:00, 0.0
-3.0, 95.0, -5.0, -2.0, 1987-12-27 18:00:00, 0.0
-5.0, 98.0, -5.0, -4.0, 1987-12-28 06:00:00, 0.0
-7.0, 95.0, -7.0, -4.0, 1987-12-28 18:00:00, 1.0
-9.0, 95.0, -9.0, -7.0, 1987-12-29 06:00:00, 1.0
-10.0, 95.0, -10.0, -8.0, 1987-12-29 18:00:00, 4.0
-13.0, 93.0, -13.0, -10.0, 1987-12-30 06:00:00, 1.0
-13.0, 92.0, -13.0, -12.0, 1987-12-30 18:00:00, 1.0
-15.0, 91.0, -16.0, -13.0, 1987-12-31 06:00:00, 0.0
-13.0, 86.0, -15.0, -11.0, 1987-12-31 18:00:00, 0.0
-13.0, 71.0, -13.0, -11.0, 1988-01-01 06:00:00, 0.0
-9.0, 66.0, -11.0, -8.0, 1988-01-01 18:00:00, 0.0
-10.0, 69.0, -10.0, -9.0, 1988-01-02 06:00:00, 0.0
-10.0, 65.0, -10.0, -8.0, 1988-01-02 18:00:00, 0.0
-12.0, 68.0, -12.0, -9.0, 1988-01-03 06:00:00, 0.0
-10.0, 58.0, -12.0, -8.0, 1988-01-03 18:00:00, 0.0
-11.0, 42.0, -11.0, -10.0, 1988-01-04 06:00:00, 0.0
-8.0, 35.0, -11.0, -6.0, 1988-01-04 18:00:00, 0.0
-10.0, 50.0, -10.0, -8.0, 1988-01-05 06:00:00, 0.0
-8.0, 97.0, -9.0, -6.0, 1988-01-05 18:00:00, 0.0
-10.0, 98.0, -10.0, -8.0, 1988-01-06 06:00:00, 0.0
-9.0, 99.0, -10.0, -8.0, 1988-01-06 18:00:00, 0.0
-9.0, 89.0, -10.0, -8.0, 1988-01-07 06:00:00, 0.0
-11.0, 88.0, -11.0, -7.0, 1988-01-07 18:00:00, 0.0
-14.0, 90.0, -14.0, -11.0, 1988-01-08 06:00:00, 0.0
-7.0, 95.0, -14.0, -5.0, 1988-01-08 18:00:00, 0.0
-8.0, 90.0, -9.0, -7.0, 1988-01-09 06:00:00, 1.0
-7.0, 97.0, -8.0, -6.0, 1988-01-09 18:00:00, 0.0
-8.0, 95.0, -10.0, -7.0, 1988-01-10 06:00:00, 5.0
-10.0, 97.0, -10.0, -7.0, 1988-01-10 18:00:00, 0.0
-8.0, 95.0, -11.0, -8.0, 1988-01-11 06:00:00, 0.0
-10.0, 90.0, -10.0, -8.0, 1988-01-11 18:00:00, 0.0
-8.0, 91.0, -10.0, -8.0, 1988-01-12 06:00:00, 0.0
-7.0, 94.0, -9.0, -6.0, 1988-01-12 18:00:00, 0.0
-8.0, 92.0, -8.0, -7.0, 1988-01-13 06:00:00, 0.0
-5.0, 97.0, -8.0, -5.0, 1988-01-13 18:00:00, 1.0
-2.0, 98.0, -5.0, -2.0, 1988-01-14 06:00:00, 9.0
-5.0, 96.0, -5.0, -1.0, 1988-01-14 18:00:00, 5.0
-7.0, 95.0, -7.0, -5.0, 1988-01-15 06:00:00, None
-10.0, 87.0, -10.0, -6.0, 1988-01-15 18:00:00, 0.0
-9.0, 95.0, -10.0, -8.0, 1988-01-16 06:00:00, 1.0
-10.0, 93.0, -10.0, -7.0, 1988-01-16 18:00:00, 4.0
-11.0, 99.0, -11.0, -10.0, 1988-01-17 06:00:00, 1.0
-12.0, 74.0, -12.0, -10.0, 1988-01-17 18:00:00, 0.0
-12.0, 93.0, -12.0, -10.0, 1988-01-18 06:00:00, 0.0
-12.0, 87.0, -12.0, -10.0, 1988-01-18 18:00:00, 0.0
-5.0, 94.0, -7.0, -5.0, 1988-01-19 06:00:00, 3.0
-6.0, 93.0, -8.0, -5.0, 1988-01-19 18:00:00, 0.0
-5.0, 94.0, -7.0, -5.0, 1988-01-20 06:00:00, 3.0
-8.0, 85.0, -8.0, -6.0, 1988-01-20 18:00:00, 0.0
-10.0, 93.0, -10.0, -8.0, 1988-01-21 06:00:00, 0.0
-5.0, 81.0, -10.0, -5.0, 1988-01-21 18:00:00, 0.0
-3.0, 99.0, -5.0, -2.0, 1988-01-22 06:00:00, 0.0
-7.0, 80.0, -7.0, -3.0, 1988-01-22 18:00:00, 5.0
-9.0, 80.0, -9.0, -7.0, 1988-01-23 06:00:00, 0.0
-10.0, 90.0, -10.0, -7.0, 1988-01-23 18:00:00, 0.0
-9.0, 78.0, -11.0, -9.0, 1988-01-24 06:00:00, 0.0
-5.0, 91.0, -9.0, -5.0, 1988-01-24 18:00:00, 0.0
-5.0, 79.0, -7.0, -5.0, 1988-01-25 06:00:00, 0.0
-5.0, 72.0, -5.0, -3.0, 1988-01-25 18:00:00, 0.0
-5.0, 65.0, -5.0, -4.0, 1988-01-26 06:00:00, 0.0
-2.0, 70.0, -5.0, 0.0, 1988-01-26 18:00:00, 0.0
-4.0, 80.0, -4.0, -2.0, 1988-01-27 06:00:00, 0.0
-1.0, 92.0, -4.0, 1.0, 1988-01-27 18:00:00, 0.0
-2.0, 98.0, -2.0, -1.0, 1988-01-28 06:00:00, 4.0
-4.0, 91.0, -4.0, -2.0, 1988-01-28 18:00:00, 7.0
-5.0, 98.0, -5.0, -4.0, 1988-01-29 06:00:00, 1.0
