station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
-10.0, None, 6.0, -11.0, None, -7.0, 1978-11-01 08:00:00, 6.0
None, None, 5.0, None, None, None, 1978-11-10 08:00:00, 5.0
None, None, 5.0, None, None, None, 1978-11-15 08:00:00, 5.0
None, None, 14.0, None, None, None, 1978-11-28 07:00:00, 14.0
None, None, 5.0, None, None, None, 1978-11-30 15:00:00, 25.0
None, None, 8.0, None, None, None, 1978-12-01 08:00:00, 30.0
None, None, 3.0, None, None, None, 1978-12-02 07:00:00, 31.0
-10.0, None, 3.0, -12.0, None, -10.0, 1978-12-09 08:00:00, 34.0
-10.0, None, 6.0, -13.0, None, -10.0, 1978-12-09 15:00:00, 39.0
-7.0, None, 4.0, -10.0, None, -7.0, 1978-12-10 15:00:00, 45.0
-3.0, None, 6.0, -8.0, None, 6.0, 1978-12-11 08:00:00, 45.0
-2.0, None, 3.0, -3.0, None, 8.0, 1978-12-11 15:00:00, 48.0
-9.0, None, None, -9.0, None, -2.0, 1978-12-12 08:00:00, 51.0
-8.0, None, None, -11.0, None, -6.0, 1978-12-12 15:00:00, 51.0
-19.0, None, None, -19.0, None, -4.0, 1978-12-13 07:00:00, 51.0
0.0, None, None, -19.0, None, 0.0, 1978-12-13 15:00:00, 51.0
-13.0, None, None, -13.0, None, 0.0, 1978-12-14 07:00:00, 51.0
-5.0, None, None, -13.0, None, -4.0, 1978-12-14 15:00:00, 51.0
None, None, None, None, None, -5.0, 1978-12-15 08:00:00, 51.0
-6.0, None, None, -8.0, None, -5.0, 1978-12-15 15:00:00, 50.0
-14.0, None, None, -16.0, None, -4.0, 1978-12-16 08:00:00, 50.0
-5.0, None, None, -16.0, None, -2.0, 1978-12-16 15:00:00, 50.0
-8.0, None, None, -17.0, None, -5.0, 1978-12-17 08:00:00, 50.0
None, None, None, -12.0, None, -5.0, 1978-12-17 14:00:00, 50.0
-8.0, None, 3.0, None, None, -1.0, 1978-12-18 08:00:00, 53.0
-6.0, None, None, -12.0, None, -5.0, 1978-12-18 15:00:00, 52.0
-7.0, None, None, -8.0, None, -2.0, 1978-12-19 08:00:00, 52.0
-4.0, None, None, -7.0, None, -2.0, 1978-12-19 15:00:00, 51.0
-6.0, None, 1.0, -8.0, None, -4.0, 1978-12-20 08:00:00, 52.0
-7.0, None, None, -8.0, None, -6.0, 1978-12-20 15:00:00, 52.0
-8.0, None, 4.0, -10.0, None, -6.0, 1978-12-21 08:00:00, 45.0
-3.0, None, None, -8.0, None, -3.0, 1978-12-21 14:30:00, 45.0
-2.0, None, 4.0, -8.0, None, -2.0, 1978-12-22 08:00:00, 47.0
-6.0, None, 1.0, -11.0, None, -1.0, 1978-12-23 08:00:00, 47.0
-4.0, None, 6.0, -14.0, None, -2.0, 1978-12-23 15:00:00, 49.0
-5.0, None, 11.0, -6.0, None, -2.0, 1978-12-24 08:00:00, 56.0
-2.0, None, None, -5.0, None, -2.0, 1978-12-24 15:00:00, 56.0
-12.0, None, None, -17.0, None, -2.0, 1978-12-25 08:00:00, 56.0
-16.0, None, None, -16.0, None, -4.0, 1978-12-26 08:00:00, 56.0
-8.0, None, None, -21.0, None, -5.0, 1978-12-26 15:00:00, 56.0
None, None, 2.0, -10.0, None, -6.0, 1978-12-27 08:00:00, 56.0
-24.0, None, 2.0, -24.0, None, -5.0, 1978-12-28 08:00:00, 57.0
-14.0, None, None, -24.0, None, -6.0, 1978-12-28 15:00:00, 57.0
-30.0, None, None, -30.0, None, -14.0, 1978-12-29 08:00:00, 57.0
-19.0, None, None, -30.0, None, -19.0, 1978-12-29 15:00:00, 57.0
-27.0, None, None, -31.0, None, -14.0, 1978-12-30 08:00:00, 57.0
-22.0, None, None, -35.0, None, -19.0, 1978-12-30 15:00:00, 57.0
-33.0, None, None, -33.0, None, -22.0, 1978-12-31 06:00:00, 57.0
-21.0, None, None, -45.0, None, -21.0, 1978-12-31 15:00:00, 57.0
-32.0, None, None, -33.0, None, -21.0, 1979-01-01 04:00:00, 57.0
-35.0, None, None, -35.0, None, -3.0, 1979-01-01 15:00:00, 57.0
-20.0, None, 1.0, -30.0, None, -18.0, 1979-01-02 07:00:00, 58.0
-16.0, None, None, -25.0, None, -16.0, 1979-01-02 15:00:00, 58.0
-22.0, None, None, -27.0, None, -16.0, 1979-01-03 07:00:00, 58.0
-20.0, None, None, -22.0, None, -14.0, 1979-01-03 15:00:00, 58.0
-27.0, None, None, -27.0, None, -19.0, 1979-01-04 06:00:00, 58.0
-16.0, None, None, -28.0, None, -15.0, 1979-01-04 15:00:00, 58.0
-25.0, None, None, -25.0, None, -16.0, 1979-01-05 08:00:00, 58.0
-15.0, None, None, -25.0, None, -15.0, 1979-01-05 15:00:00, 58.0
-27.0, None, None, -35.0, None, -15.0, 1979-01-06 08:00:00, 58.0
-16.0, None, None, -27.0, None, -16.0, 1979-01-06 15:00:00, 58.0
-25.0, None, None, -34.0, None, -15.0, 1979-01-07 08:00:00, 58.0
-15.0, None, None, -26.0, None, -14.0, 1979-01-07 14:00:00, 58.0
-24.0, None, None, -33.0, None, -13.0, 1979-01-08 08:00:00, 58.0
-21.0, None, None, -26.0, None, None, 1979-01-09 08:00:00, 58.0
-12.0, None, None, -34.0, None, -11.0, 1979-01-09 15:00:00, 58.0
-14.0, None, 2.0, -19.0, None, -12.0, 1979-01-10 08:00:00, 60.0
-11.0, None, 10.0, -14.0, None, -11.0, 1979-01-10 15:00:00, 70.0
-12.0, None, 2.0, -15.0, None, -11.0, 1979-01-11 08:00:00, 70.0
-9.0, None, None, -13.0, None, -9.0, 1979-01-11 15:00:00, 70.0
-9.0, None, 3.0, -11.0, None, -9.0, 1979-01-12 08:00:00, 73.0
-7.0, None, None, -9.0, None, -6.0, 1979-01-12 15:00:00, None
-9.0, None, 5.0, -10.0, None, -6.0, 1979-01-13 08:00:00, None
-7.0, None, None, -18.0, None, -7.0, 1979-01-13 15:00:00, None
-21.0, None, None, -21.0, None, -2.0, 1979-01-14 08:00:00, None
-12.0, None, None, -27.0, None, -12.0, 1979-01-14 15:00:00, None
-15.0, None, None, -20.0, None, -12.0, 1979-01-15 08:00:00, None
-10.0, None, None, -15.0, None, -10.0, 1979-01-15 15:00:00, None
-25.0, None, None, -25.0, None, -10.0, 1979-01-16 08:00:00, 52.0
-20.0, None, None, -25.0, None, -11.0, 1979-01-16 15:00:00, 52.0
-16.0, None, None, -20.0, None, -6.0, 1979-01-17 08:00:00, 52.0
-7.0, None, 1.0, -17.0, None, -7.0, 1979-01-17 15:00:00, 53.0
-19.0, None, None, -20.0, None, -7.0, 1979-01-18 08:00:00, 53.0
-9.0, None, None, -19.0, None, -7.0, 1979-01-18 15:00:00, 53.0
-10.0, None, 4.0, -18.0, None, -7.0, 1979-01-19 08:00:00, 56.0
-6.0, None, 1.0, -18.0, None, -5.0, 1979-01-19 15:00:00, 57.0
-17.0, None, 1.0, -18.0, None, -6.0, 1979-01-20 08:00:00, 58.0
-7.0, None, None, -17.0, None, -6.0, 1979-01-20 15:00:00, 58.0
-4.0, None, None, -8.0, None, -4.0, 1979-01-21 06:00:00, 58.0
-4.0, None, None, -5.0, None, -3.0, 1979-01-21 15:00:00, 58.0
-14.0, None, None, -16.0, None, -4.0, 1979-01-22 08:00:00, 58.0
-6.0, None, None, -14.0, None, -6.0, 1979-01-22 15:00:00, 58.0
-10.0, None, None, -16.0, None, -6.0, 1979-01-23 08:00:00, 58.0
-7.0, None, None, -10.0, None, -7.0, 1979-01-23 15:00:00, 58.0
-14.0, None, 3.0, -15.0, None, -7.0, 1979-01-24 08:00:00, 61.0
-7.0, None, None, -14.0, None, -6.0, 1979-01-24 15:00:00, 61.0
-15.0, None, None, -20.0, None, -6.0, 1979-01-25 08:00:00, 61.0
-8.0, None, None, -15.0, None, -7.0, 1979-01-25 15:00:00, None
-18.0, None, None, -23.0, None, -8.0, 1979-01-26 08:00:00, None
-10.0, None, None, -18.0, None, -10.0, 1979-01-26 15:00:00, 50.0
-15.0, None, 2.0, -16.0, None, -10.0, 1979-01-27 08:00:00, 50.0
-8.0, None, 2.0, -15.0, None, -8.0, 1979-01-27 15:00:00, 50.0
-15.0, None, 1.0, -17.0, None, -8.0, 1979-01-28 08:00:00, 51.0
-7.0, None, None, -9.0, None, -7.0, 1979-01-28 15:00:00, 51.0
-18.0, None, 1.0, None, None, None, 1979-01-29 08:00:00, 51.0
-8.0, None, 1.0, None, None, None, 1979-01-29 15:00:00, 51.0
-18.0, None, None, None, None, None, 1979-01-30 08:00:00, 51.0
-10.0, None, None, -14.0, None, None, 1979-01-30 15:00:00, 50.0
-13.0, None, None, -14.0, None, None, 1979-01-31 08:00:00, 50.0
-13.0, None, None, -13.0, None, -8.0, 1979-01-31 15:00:00, 50.0
-20.0, None, None, -23.0, None, -9.0, 1979-02-01 08:00:00, 50.0
-11.0, None, None, -21.0, None, -11.0, 1979-02-01 15:00:00, 50.0
-18.0, None, None, -26.0, None, -11.0, 1979-02-02 08:00:00, 50.0
-13.0, None, None, -18.0, None, -12.0, 1979-02-02 15:00:00, 50.0
-15.0, None, 2.0, -18.0, None, -12.0, 1979-02-03 08:00:00, 52.0
-8.0, None, 1.0, -15.0, None, -8.0, 1979-02-03 15:00:00, 53.0
-18.0, None, None, -21.0, None, -7.0, 1979-02-04 08:00:00, 53.0
-8.0, None, 1.0, -21.0, None, -7.0, 1979-02-04 15:00:00, 53.0
-6.0, None, 1.0, -8.0, None, -5.0, 1979-02-05 08:00:00, 53.0
-5.0, None, None, -10.0, None, -5.0, 1979-02-05 15:00:00, 53.0
-7.0, None, None, -11.0, None, 0.0, 1979-02-06 08:00:00, 53.0
-4.0, None, 7.0, -7.0, None, 0.0, 1979-02-06 15:00:00, 60.0
-6.0, None, 6.0, -8.0, None, -2.0, 1979-02-07 08:00:00, 63.0
-2.0, None, None, -12.0, None, -1.0, 1979-02-07 15:00:00, 63.0
-8.0, None, None, -15.0, None, -2.0, 1979-02-08 08:00:00, 63.0
-5.0, None, 6.0, -8.0, None, -1.0, 1979-02-08 15:00:00, 67.0
-2.0, None, 4.0, -5.0, None, -2.0, 1979-02-09 08:00:00, 70.0
0.0, None, 4.0, -2.0, None, 0.0, 1979-02-09 15:00:00, 70.0
-1.0, None, 4.0, -1.0, None, None, 1979-02-10 08:00:00, 69.0
-6.0, None, 4.0, -6.0, None, 3.0, 1979-02-10 15:00:00, 69.0
