station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
0.0, None, None, None, None, None, None, 1976-12-12 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1976-12-18 08:00:00, None, None, None
-6.0, None, None, None, None, None, None, 1976-12-19 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1976-12-28 08:00:00, None, None, None
-15.0, None, None, None, None, None, None, 1977-01-03 15:00:00, None, None, None
-15.0, None, None, None, None, None, None, 1977-01-04 08:00:00, None, None, None
-12.0, None, None, None, None, None, None, 1977-01-04 15:00:00, None, None, None
-23.0, None, None, None, None, None, None, 1977-01-05 08:00:00, None, None, None
-15.0, None, None, None, None, None, None, 1977-01-05 15:00:00, None, None, None
-21.0, None, None, None, None, None, None, 1977-01-06 08:00:00, None, None, None
-16.0, None, None, None, None, None, None, 1977-01-07 08:00:00, None, None, None
-8.0, None, None, None, None, None, None, 1977-01-07 15:00:00, None, None, None
-20.0, None, None, None, None, None, None, 1977-01-08 08:00:00, None, None, None
-16.0, None, None, None, None, None, None, 1977-01-08 15:00:00, None, None, None
-8.0, None, None, None, None, None, None, 1977-01-09 08:00:00, None, None, None
-8.0, None, None, None, None, None, None, 1977-01-09 16:00:00, None, None, None
-11.0, None, None, None, None, None, None, 1977-01-10 08:00:00, None, None, None
-15.0, None, None, None, None, None, None, 1977-01-10 15:00:00, None, None, None
-12.0, None, None, None, None, None, None, 1977-01-11 08:00:00, None, None, None
-9.0, None, None, None, None, None, None, 1977-01-11 16:00:00, None, None, None
-10.0, None, None, 20.0, None, None, None, 1977-01-12 08:00:00, None, None, None
-5.0, None, None, None, None, None, None, 1977-01-12 16:00:00, None, None, None
-10.0, None, None, None, None, None, None, 1977-01-13 16:00:00, None, None, None
-8.0, None, None, 3.0, None, None, None, 1977-01-14 08:00:00, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-14 16:00:00, None, None, None
-5.0, None, None, 1.0, None, None, None, 1977-01-15 08:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1977-01-15 15:00:00, None, None, None
-4.0, None, None, None, None, None, None, 1977-01-16 08:00:00, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-16 15:00:00, None, None, None
0.0, None, None, 5.0, None, None, None, 1977-01-17 08:00:00, None, None, None
2.0, None, None, None, None, None, None, 1977-01-17 16:00:00, None, None, None
2.0, None, None, None, None, None, None, 1977-01-18 08:00:00, None, None, None
4.0, None, None, None, None, None, None, 1977-01-18 16:00:00, None, None, None
