station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
0.0, None, None, 3.0, None, None, 1975-11-24 07:00:00, 3.0
4.0, None, None, None, None, None, 1975-11-24 14:00:00, 3.0
-12.0, None, None, None, None, None, 1975-11-25 07:00:00, 2.0
0.0, None, None, None, None, None, 1975-11-25 14:00:00, 2.0
-4.0, None, None, 8.0, None, None, 1975-11-26 07:00:00, 10.0
0.0, None, None, None, None, None, 1975-11-26 14:00:00, 10.0
-16.0, None, None, None, None, None, 1975-11-27 07:00:00, 8.0
-1.0, None, None, None, None, None, 1975-11-27 14:00:00, 8.0
-16.0, None, None, None, None, None, 1975-11-28 07:00:00, 8.0
-5.0, None, None, None, None, None, 1975-11-28 14:00:00, 7.0
-12.0, None, None, None, None, None, 1975-11-29 07:00:00, 7.0
-2.0, None, None, None, None, None, 1975-11-29 14:00:00, 7.0
-16.0, None, None, None, None, None, 1975-11-30 07:00:00, 6.0
-4.0, None, None, None, None, None, 1975-11-30 14:00:00, 6.0
-10.0, None, None, 7.0, None, None, 1975-12-01 07:00:00, 12.0
-6.0, None, None, 2.0, None, None, 1975-12-01 14:00:00, 14.0
2.0, None, None, 14.0, None, None, 1975-12-02 07:00:00, 25.0
5.0, None, None, None, None, None, 1975-12-02 14:00:00, 5.0
3.0, None, None, None, None, None, 1975-12-03 07:00:00, 0.0
5.0, None, None, None, None, None, 1975-12-03 14:00:00, 0.0
5.0, None, None, None, None, None, 1975-12-04 07:00:00, 0.0
2.0, None, None, None, None, None, 1975-12-04 14:00:00, 0.0
-6.0, None, None, None, None, None, 1975-12-05 07:00:00, 0.0
-2.0, None, None, None, None, None, 1975-12-05 14:00:00, 0.0
-12.0, None, None, None, None, None, 1975-12-06 07:00:00, 0.0
-6.0, None, None, None, None, None, 1975-12-06 14:00:00, 0.0
-8.0, None, None, None, None, None, 1975-12-07 07:00:00, 0.0
-2.0, None, None, None, None, None, 1975-12-07 14:00:00, 0.0
-2.0, None, None, 3.0, None, None, 1975-12-08 07:00:00, 3.0
3.0, None, None, 3.0, None, None, 1975-12-08 14:00:00, 5.0
9.0, None, None, None, None, None, 1975-12-09 07:00:00, 0.0
8.0, None, None, None, None, None, 1975-12-09 14:00:00, 0.0
-1.0, None, None, None, None, None, 1975-12-10 07:00:00, 0.0
3.0, None, None, None, None, None, 1975-12-10 14:00:00, 0.0
-10.0, None, None, None, None, None, 1975-12-11 07:00:00, 0.0
-5.0, None, None, None, None, None, 1975-12-11 14:00:00, 0.0
-12.0, None, None, None, None, None, 1975-12-12 07:00:00, 0.0
-5.0, None, None, None, None, None, 1975-12-12 14:00:00, 0.0
-12.0, None, None, 1.0, None, None, 1975-12-13 07:00:00, 1.0
-6.0, None, None, 1.0, None, None, 1975-12-13 14:00:00, 2.0
-12.0, None, None, 2.0, None, None, 1975-12-14 07:00:00, 4.0
-8.0, None, None, None, None, None, 1975-12-14 14:00:00, 4.0
-15.0, None, None, 3.0, None, None, 1975-12-15 07:00:00, 6.0
-5.0, None, None, None, None, None, 1975-12-15 14:00:00, 5.0
-17.0, None, None, None, None, None, 1975-12-16 07:00:00, 5.0
-7.0, None, None, None, None, None, 1975-12-16 14:00:00, 5.0
-17.0, None, None, None, None, None, 1975-12-17 07:00:00, 5.0
-5.0, None, None, None, None, None, 1975-12-17 14:00:00, 4.0
-6.0, None, None, None, None, None, 1975-12-18 07:00:00, 4.0
-6.0, None, None, None, None, None, 1975-12-18 14:00:00, 3.0
-4.0, None, None, None, None, None, 1975-12-19 07:00:00, 3.0
-4.0, None, None, None, None, None, 1975-12-19 14:00:00, 2.0
-8.0, None, None, None, None, None, 1975-12-20 07:00:00, 2.0
-5.0, None, None, None, None, None, 1975-12-20 14:00:00, 2.0
-8.0, None, None, None, None, None, 1975-12-21 07:00:00, 2.0
-5.0, None, None, None, None, None, 1975-12-21 14:00:00, 2.0
-7.0, None, None, None, None, None, 1975-12-22 07:00:00, 2.0
-7.0, None, None, None, None, None, 1975-12-22 14:00:00, 2.0
-6.0, None, None, 1.0, None, None, 1975-12-23 07:00:00, 3.0
-1.0, None, None, None, None, None, 1975-12-23 14:00:00, 2.0
-2.0, None, None, None, None, None, 1975-12-24 07:00:00, 2.0
2.0, None, None, None, None, None, 1975-12-24 14:00:00, 2.0
-2.0, None, None, None, None, None, 1975-12-25 07:00:00, 2.0
0.0, None, None, None, None, None, 1975-12-25 14:00:00, 2.0
-2.0, None, None, None, None, None, 1975-12-26 07:00:00, 2.0
1.0, None, None, 3.0, None, None, 1975-12-26 14:00:00, 4.0
-2.0, None, None, 1.0, None, None, 1975-12-27 07:00:00, 4.0
1.0, None, None, None, None, None, 1975-12-27 14:00:00, 3.0
-2.0, None, None, None, None, None, 1975-12-28 07:00:00, 3.0
4.0, None, None, None, None, None, 1975-12-28 14:00:00, 2.0
-2.0, None, None, None, None, None, 1975-12-29 07:00:00, 2.0
3.0, None, None, None, None, None, 1975-12-29 14:00:00, 2.0
1.0, None, None, None, None, None, 1975-12-30 07:00:00, 2.0
1.0, None, None, 1.0, None, None, 1975-12-30 14:00:00, 3.0
-10.0, None, None, 5.0, None, None, 1975-12-31 07:00:00, 7.0
-3.0, None, None, None, None, None, 1975-12-31 14:00:00, 7.0
-15.0, None, None, None, None, None, 1976-01-01 07:00:00, 6.0
-5.0, None, None, None, None, None, 1976-01-01 14:00:00, 6.0
-11.0, None, None, None, None, None, 1976-01-02 07:00:00, 6.0
-7.0, None, None, None, None, None, 1976-01-02 14:00:00, 6.0
-10.0, None, None, None, None, None, 1976-01-03 07:00:00, 5.0
-6.0, None, None, 1.0, None, None, 1976-01-03 14:00:00, 5.0
-8.0, None, None, 1.0, None, None, 1976-01-04 07:00:00, 5.0
-5.0, None, None, 1.0, None, None, 1976-01-04 14:00:00, 5.0
-4.0, None, None, 14.0, None, None, 1976-01-05 07:00:00, 23.0
4.0, None, None, None, None, None, 1976-01-05 14:00:00, 20.0
-7.0, None, None, None, None, None, 1976-01-06 07:00:00, 20.0
2.0, None, None, None, None, None, 1976-01-06 14:00:00, 18.0
-10.0, None, None, 1.0, None, None, 1976-01-07 07:00:00, 18.0
-4.0, None, None, 1.0, None, None, 1976-01-07 14:00:00, 19.0
-10.0, None, None, 10.0, None, None, 1976-01-08 07:00:00, 27.0
-5.0, None, None, None, None, None, 1976-01-08 14:00:00, 26.0
-7.0, None, None, 3.0, None, None, 1976-01-09 07:00:00, 27.0
-2.0, None, None, None, None, None, 1976-01-09 14:00:00, 25.0
-8.0, None, None, 1.0, None, None, 1976-01-10 07:00:00, 24.0
-4.0, None, None, 8.0, None, None, 1976-01-10 14:00:00, 28.0
-8.0, None, None, 12.0, None, None, 1976-01-11 07:00:00, 38.0
-5.0, None, None, 4.0, None, None, 1976-01-11 14:00:00, 38.0
-10.0, None, None, None, None, None, 1976-01-12 07:00:00, 35.0
-2.0, None, None, None, None, None, 1976-01-12 14:00:00, 33.0
-17.0, None, None, None, None, None, 1976-01-13 07:00:00, 32.0
-4.0, None, None, None, None, None, 1976-01-13 14:00:00, 30.0
-8.0, None, None, 2.0, None, None, 1976-01-14 07:00:00, 28.0
-3.0, None, None, 15.0, None, None, 1976-01-14 14:00:00, 42.0
-7.0, None, None, 3.0, None, None, 1976-01-15 07:00:00, 42.0
2.0, None, None, None, None, None, 1976-01-15 14:00:00, 40.0
-1.0, None, None, None, None, None, 1976-01-16 07:00:00, 38.0
8.0, None, None, None, None, None, 1976-01-16 14:00:00, 35.0
-3.0, None, None, None, None, None, 1976-01-17 07:00:00, 34.0
8.0, None, None, None, None, None, 1976-01-17 14:00:00, 34.0
-2.0, None, None, None, None, None, 1976-01-18 07:00:00, 32.0
8.0, None, None, None, None, None, 1976-01-18 14:00:00, 31.0
-11.0, None, None, None, None, None, 1976-01-19 07:00:00, 31.0
2.0, None, None, None, None, None, 1976-01-19 14:00:00, 30.0
-15.0, None, None, None, None, None, 1976-01-20 07:00:00, 30.0
2.0, None, None, None, None, None, 1976-01-20 14:00:00, 30.0
-14.0, None, None, None, None, None, 1976-01-21 07:00:00, 30.0
2.0, None, None, None, None, None, 1976-01-21 14:00:00, 29.0
-7.0, None, None, None, None, None, 1976-01-22 07:00:00, 29.0
0.0, None, None, None, None, None, 1976-01-22 14:00:00, 29.0
0.0, None, None, 2.0, None, None, 1976-01-23 07:00:00, 29.0
2.0, None, None, None, None, None, 1976-01-23 14:00:00, 29.0
-8.0, None, None, None, None, None, 1976-01-24 07:00:00, 28.0
2.0, None, None, None, None, None, 1976-01-24 14:00:00, 27.0
-8.0, None, None, None, None, None, 1976-01-25 07:00:00, 27.0
0.0, None, None, None, None, None, 1976-01-25 14:00:00, 26.0
-8.0, None, None, None, None, None, 1976-01-26 07:00:00, 26.0
0.0, None, None, None, None, None, 1976-01-26 14:00:00, 26.0
2.0, None, None, 3.0, None, None, 1976-01-27 07:00:00, 28.0
6.0, None, None, None, None, None, 1976-01-27 14:00:00, 28.0
-4.0, None, None, None, None, None, 1976-01-28 07:00:00, 26.0
5.0, None, None, None, None, None, 1976-01-28 14:00:00, 26.0
-1.0, None, None, None, None, None, 1976-01-29 07:00:00, 25.0
7.0, None, None, None, None, None, 1976-01-29 14:00:00, 25.0
-6.0, None, None, None, None, None, 1976-01-30 07:00:00, 24.0
8.0, None, None, None, None, None, 1976-01-30 14:00:00, 24.0
-7.0, None, None, None, None, None, 1976-01-31 07:00:00, 24.0
4.0, None, None, None, None, None, 1976-01-31 14:00:00, 24.0
-6.0, None, None, None, None, None, 1976-02-01 07:00:00, 24.0
2.0, None, None, None, None, None, 1976-02-01 14:00:00, 24.0
-11.0, None, None, None, None, None, 1976-02-02 07:00:00, 23.0
6.0, None, None, None, None, None, 1976-02-02 14:00:00, 23.0
-6.0, None, None, 2.0, None, None, 1976-02-03 07:00:00, 23.0
2.0, None, None, None, None, None, 1976-02-03 14:00:00, 23.0
-15.0, None, None, None, None, None, 1976-02-04 07:00:00, 23.0
-4.0, None, None, None, None, None, 1976-02-04 14:00:00, 23.0
-21.0, None, None, None, None, None, 1976-02-05 07:00:00, 23.0
-5.0, None, None, None, None, None, 1976-02-05 14:00:00, 23.0
-17.0, None, None, None, None, None, 1976-02-06 07:00:00, 23.0
-2.0, None, None, None, None, None, 1976-02-06 14:00:00, 22.0
-8.0, None, None, None, None, None, 1976-02-07 07:00:00, 22.0
4.0, None, None, None, None, None, 1976-02-07 14:00:00, 22.0
-6.0, None, None, None, None, None, 1976-02-08 07:00:00, 21.0
4.0, None, None, 2.0, None, None, 1976-02-08 14:00:00, 22.0
-6.0, None, None, None, None, None, 1976-02-09 07:00:00, 22.0
3.0, None, None, None, None, None, 1976-02-09 14:00:00, 21.0
-6.0, None, None, None, None, None, 1976-02-10 07:00:00, 21.0
4.0, None, None, None, None, None, 1976-02-10 14:00:00, 19.0
-1.0, None, None, 10.0, None, None, 1976-02-11 07:00:00, 28.0
1.0, None, None, 8.0, None, None, 1976-02-11 14:00:00, 35.0
-5.0, None, None, 10.0, None, None, 1976-02-12 07:00:00, 44.0
4.0, None, None, None, None, None, 1976-02-12 14:00:00, 42.0
-4.0, None, None, None, None, None, 1976-02-13 07:00:00, 41.0
4.0, None, None, 5.0, None, None, 1976-02-13 14:00:00, 45.0
-6.0, None, None, None, None, None, 1976-02-14 07:00:00, 45.0
4.0, None, None, None, None, None, 1976-02-14 14:00:00, 45.0
-2.0, None, None, 2.0, None, None, 1976-02-15 07:00:00, 45.0
4.0, None, None, None, None, None, 1976-02-15 14:00:00, 45.0
-2.0, None, None, 5.0, None, None, 1976-02-16 07:00:00, 49.0
3.0, None, None, 2.0, None, None, 1976-02-16 14:00:00, 50.0
-3.0, None, None, None, None, None, 1976-02-17 07:00:00, 50.0
0.0, None, None, 1.0, None, None, 1976-02-17 14:00:00, 50.0
-5.0, None, None, 5.0, None, None, 1976-02-18 07:00:00, 53.0
5.0, None, None, None, None, None, 1976-02-18 14:00:00, 52.0
-10.0, None, None, None, None, None, 1976-02-19 07:00:00, 52.0
4.0, None, None, None, None, None, 1976-02-19 14:00:00, 51.0
-13.0, None, None, None, None, None, 1976-02-20 07:00:00, 50.0
5.0, None, None, None, None, None, 1976-02-20 14:00:00, 48.0
-6.0, None, None, None, None, None, 1976-02-21 07:00:00, 48.0
4.0, None, None, None, None, None, 1976-02-21 14:00:00, 47.0
-5.0, None, None, None, None, None, 1976-02-22 07:00:00, 47.0
4.0, None, None, None, None, None, 1976-02-22 14:00:00, 46.0
2.0, None, None, None, None, None, 1976-02-23 07:00:00, 44.0
8.0, None, None, None, None, None, 1976-02-23 14:00:00, 40.0
0.0, None, None, 4.0, None, None, 1976-02-24 07:00:00, 44.0
3.0, None, None, None, None, None, 1976-02-24 14:00:00, 42.0
0.0, None, None, 8.0, None, None, 1976-02-25 07:00:00, 50.0
2.0, None, None, None, None, None, 1976-02-25 14:00:00, 48.0
-3.0, None, None, 4.0, None, None, 1976-02-26 07:00:00, 52.0
4.0, None, None, 5.0, None, None, 1976-02-26 14:00:00, 56.0
-8.0, None, None, 1.0, None, None, 1976-02-27 07:00:00, 56.0
-2.0, None, None, 13.0, None, None, 1976-02-27 14:00:00, 63.0
-8.0, None, None, 17.0, None, None, 1976-02-28 07:00:00, 74.0
-4.0, None, None, None, None, None, 1976-02-28 14:00:00, 72.0
-10.0, None, None, None, None, None, 1976-02-29 07:00:00, 72.0
-2.0, None, None, None, None, None, 1976-02-29 14:00:00, 72.0
-12.0, None, None, 2.0, None, None, 1976-03-01 07:00:00, 72.0
-4.0, None, None, None, None, None, 1976-03-01 14:00:00, 70.0
-27.0, None, None, None, None, None, 1976-03-02 07:00:00, 70.0
-5.0, None, None, None, None, None, 1976-03-02 14:00:00, 68.0
-22.0, None, None, None, None, None, 1976-03-03 07:00:00, 66.0
-6.0, None, None, None, None, None, 1976-03-03 14:00:00, 65.0
-25.0, None, None, None, None, None, 1976-03-04 07:00:00, 65.0
-4.0, None, None, None, None, None, 1976-03-04 14:00:00, 65.0
-17.0, None, None, None, None, None, 1976-03-05 07:00:00, 65.0
-4.0, None, None, None, None, None, 1976-03-05 16:00:00, 64.0
-12.0, None, None, None, None, None, 1976-03-06 07:00:00, 63.0
-1.0, None, None, None, None, None, 1976-03-06 14:00:00, 62.0
-12.0, None, None, None, None, None, 1976-03-07 07:00:00, 62.0
2.0, None, None, None, None, None, 1976-03-07 14:00:00, 62.0
-8.0, None, None, None, None, None, 1976-03-08 07:00:00, 60.0
6.0, None, None, None, None, None, 1976-03-08 16:00:00, 60.0
-6.0, None, None, None, None, None, 1976-03-09 07:00:00, 58.0
9.0, None, None, None, None, None, 1976-03-09 14:00:00, 57.0
4.0, None, None, None, None, None, 1976-03-10 07:00:00, 55.0
6.0, None, None, None, None, None, 1976-03-10 14:00:00, 54.0
-6.0, None, None, 7.0, None, None, 1976-03-11 07:00:00, 60.0
4.0, None, None, None, None, None, 1976-03-11 14:00:00, 60.0
-6.0, None, None, None, None, None, 1976-03-12 07:00:00, 59.0
