station_observations
CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
-12.0, 0.0, -12.0, 0.0, 1993-11-05 06:00:00, 0.0
2.0, None, -2.0, 2.0, 1993-11-05 14:11:00, None
-6.5, 0.0, -8.5, -2.0, 1993-11-06 07:00:00, None
3.0, None, -8.5, 3.0, 1993-11-06 15:00:00, None
-4.0, 0.0, -5.5, 3.5, 1993-11-07 07:00:00, 0.0
2.5, None, -4.5, 3.5, 1993-11-07 15:00:00, None
-6.0, 0.0, -7.0, 3.0, 1993-11-08 06:00:00, 0.0
-6.0, 0.0, -6.0, 5.5, 1993-11-09 06:00:00, 0.0
-7.0, 0.0, -8.0, 6.0, 1993-11-10 07:30:00, 0.0
0.0, None, -6.0, 7.0, 1993-11-11 05:19:00, None
-5.0, 0.0, -6.0, 7.0, 1993-11-11 06:21:00, 0.0
4.0, 0.0, -8.0, 4.0, 1993-11-11 15:10:00, 0.0
6.0, 0.0, 3.0, 6.5, 1993-11-12 06:00:00, 0.0
-5.0, 0.0, -7.0, 4.5, 1993-11-13 05:01:00, 0.0
-1.0, None, -5.0, 4.5, 1993-11-13 17:00:00, None
-10.5, 0.0, -11.5, -1.0, 1993-11-14 04:57:00, 0.0
0.5, 0.0, -11.0, 2.0, 1993-11-14 17:45:00, 0.0
1.5, 0.0, 0.0, 2.0, 1993-11-15 05:30:00, 0.0
-2.0, 0.0, -2.0, 3.0, 1993-11-16 06:00:00, 4.0
-6.0, 9.0, -7.0, 1.0, 1993-11-17 06:00:00, 15.0
-3.0, 8.0, -3.0, 0.0, 1993-11-18 06:00:00, 16.0
1.5, 0.0, -0.5, 1.5, 1993-11-19 05:30:00, 16.0
1.0, 0.0, 0.0, 1.5, 1993-11-20 05:00:00, 14.0
2.5, 0.0, 0.5, 3.0, 1993-11-20 17:30:00, 14.0
0.0, 4.0, -0.5, 0.0, 1993-11-21 05:00:00, 14.0
-20.0, 3.0, -20.0, -20.0, 1993-11-22 05:00:00, 30.0
-24.0, 0.0, -24.0, -24.0, 1993-11-23 05:55:00, 28.0
-30.0, 0.0, -30.0, -23.0, 1993-11-24 05:00:00, 23.0
-29.5, 0.0, -30.5, -29.0, 1993-11-25 05:00:00, 20.0
-28.0, 0.0, -29.5, -28.0, 1993-11-26 05:00:00, 20.0
-23.0, 0.0, -25.0, -23.0, 1993-11-27 05:00:00, 18.0
-8.0, None, -24.0, -8.0, 1993-11-27 15:00:00, 3.0
-7.5, 0.0, -14.0, -7.5, 1993-11-28 05:00:00, 18.0
5.0, 0.0, 0.0, 5.0, 1993-11-28 15:30:00, 15.0
-2.5, 1.0, -6.0, -2.5, 1993-11-29 06:00:00, 17.0
2.0, 0.0, -2.0, 2.5, 1993-11-30 06:00:00, 15.0
-2.0, 2.0, -2.0, 1.5, 1993-12-01 06:00:00, 17.0
0.0, 10.0, -1.5, 1.0, 1993-12-02 06:00:00, 28.0
2.0, 0.0, 0.0, 2.5, 1993-12-03 06:00:00, 23.0
2.5, 0.0, 0.5, 3.0, 1993-12-04 05:00:00, 20.0
1.0, 0.0, 0.0, 2.0, 1993-12-04 15:00:00, 19.0
-3.5, 16.0, -4.0, -3.0, 1993-12-05 05:00:00, 35.0
4.0, 0.0, 2.5, 9.0, 1993-12-05 15:30:00, 0.0
-14.5, None, -15.0, -14.5, 1993-12-06 04:36:00, 25.0
-7.0, 0.0, -14.5, -7.0, 1993-12-06 15:00:00, 25.0
-10.5, None, -11.5, -10.5, 1993-12-07 04:13:00, 25.0
-7.5, 10.0, -8.5, -3.0, 1993-12-08 05:00:00, 35.0
1.0, 6.0, -2.0, 2.0, 1993-12-09 07:00:00, 45.0
0.5, 0.0, 0.5, 1.0, 1993-12-10 07:00:00, 35.0
0.5, 0.0, 0.5, 1.0, 1993-12-11 06:00:00, 30.0
0.0, 0.0, 0.0, 1.0, 1993-12-11 15:00:00, 30.0
2.0, 0.0, 1.0, 2.0, 1993-12-12 05:30:00, 30.0
1.5, 0.0, -1.0, 1.5, 1993-12-12 15:00:00, 30.0
-1.5, 0.0, -1.5, 2.0, 1993-12-13 07:15:00, 25.0
0.5, None, -6.0, 0.5, 1993-12-13 14:26:00, 20.0
-1.0, 0.0, -2.5, -1.0, 1993-12-14 07:00:00, 20.0
-2.5, 0.0, -4.0, -2.5, 1993-12-15 07:30:00, 20.0
-9.0, 0.0, -9.0, -0.5, 1993-12-16 07:00:00, 20.0
-10.0, 0.0, -14.5, -10.0, 1993-12-17 07:30:00, 20.0
-8.0, 3.0, -8.5, -8.0, 1993-12-18 05:00:00, 23.0
-4.0, 1.0, -6.0, -4.0, 1993-12-18 15:00:00, 23.0
