station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
0.0, None, None, 4.0, None, None, None, 1976-12-08 07:00:00, None, None, None, None
3.0, None, None, None, None, None, None, 1976-12-08 19:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-09 07:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1976-12-09 19:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-10 07:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1976-12-10 19:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1976-12-11 07:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-11 19:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1976-12-12 07:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1976-12-12 19:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-13 19:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1976-12-14 07:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-14 19:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-15 07:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1976-12-15 15:00:00, None, None, None, None
5.0, None, None, None, None, None, None, 1976-12-16 07:00:00, None, None, None, None
6.0, None, None, None, None, None, None, 1976-12-16 19:00:00, None, None, None, None
5.0, None, None, None, None, None, None, 1976-12-17 07:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1976-12-17 19:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1976-12-18 07:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-18 19:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-19 07:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1976-12-19 19:00:00, None, None, None, None
-4.0, None, None, None, None, None, None, 1976-12-20 07:00:00, None, None, None, None
-1.0, None, None, 2.0, None, None, None, 1976-12-20 19:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1976-12-21 07:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1976-12-22 08:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1976-12-22 19:00:00, None, None, None, None
-2.0, None, None, 2.0, None, None, None, 1976-12-23 07:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1976-12-23 19:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1976-12-24 07:00:00, None, None, None, None
0.0, None, None, 2.0, None, None, None, 1976-12-25 07:00:00, None, None, None, None
0.0, None, None, 18.0, None, None, None, 1976-12-25 19:00:00, None, None, None, None
0.0, None, None, 2.0, None, None, None, 1976-12-26 07:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1976-12-26 19:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1976-12-27 07:00:00, None, None, None, None
-4.0, None, None, None, None, None, None, 1976-12-28 07:00:00, None, None, None, None
-5.0, None, None, None, None, None, None, 1976-12-29 07:00:00, None, None, None, None
-6.0, None, None, None, None, None, None, 1976-12-30 07:00:00, None, None, None, None
-6.0, None, None, None, None, None, None, 1976-12-30 19:00:00, None, None, None, None
-7.0, None, None, None, None, None, None, 1976-12-31 07:00:00, None, None, None, None
-14.0, None, None, None, None, None, None, 1976-12-31 19:00:00, None, None, None, None
-8.0, None, None, None, None, None, None, 1977-01-02 19:00:00, None, None, None, None
-7.0, None, None, None, None, None, None, 1977-01-03 15:00:00, None, None, None, None
-14.0, None, None, None, None, None, None, 1977-01-04 08:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-01-04 15:00:00, None, None, None, None
-15.0, None, None, None, None, None, None, 1977-01-05 08:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-01-05 15:00:00, None, None, None, None
-18.0, None, None, None, None, None, None, 1977-01-06 08:00:00, None, None, None, None
-8.0, None, None, 2.0, None, None, None, 1977-01-06 19:00:00, None, None, None, None
-10.0, None, None, 2.0, None, None, None, 1977-01-07 08:00:00, None, None, None, None
-6.0, None, None, None, None, None, None, 1977-01-07 15:00:00, None, None, None, None
-15.0, None, None, None, None, None, None, 1977-01-08 07:00:00, None, None, None, None
-6.0, None, None, None, None, None, None, 1977-01-08 15:00:00, None, None, None, None
-12.0, None, None, None, None, None, None, 1977-01-09 08:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-09 16:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-01-10 08:00:00, None, None, None, None
-5.0, None, None, None, None, None, None, 1977-01-10 15:00:00, None, None, None, None
-7.0, None, None, None, None, None, None, 1977-01-11 08:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-11 16:00:00, None, None, None, None
-5.0, None, None, 4.0, None, None, None, 1977-01-12 08:00:00, None, None, None, None
-7.0, None, None, None, None, None, None, 1977-01-12 16:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-01-13 07:00:00, None, None, None, None
-4.0, None, None, 3.0, None, None, None, 1977-01-13 16:00:00, None, None, None, None
-5.0, None, None, 4.0, None, None, None, 1977-01-14 08:00:00, None, None, None, None
-1.0, None, None, 3.0, None, None, None, 1977-01-14 16:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-01-15 08:00:00, None, None, None, None
-5.0, None, None, None, None, None, None, 1977-01-15 15:00:00, None, None, None, None
-6.0, None, None, 3.0, None, None, None, 1977-01-16 08:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1977-01-16 15:00:00, None, None, None, None
-2.0, None, None, 3.0, None, None, None, 1977-01-17 08:00:00, None, None, None, None
