station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
-1.0, None, None, -7.5, 9.0, 1988-10-31 05:55:00, None
4.0, None, None, -1.0, 4.0, 1988-10-31 13:30:00, None
3.0, None, None, 1.5, 4.5, 1988-11-01 06:00:00, None
4.5, None, None, 3.0, 4.5, 1988-11-01 13:45:00, None
-1.0, None, None, -1.5, 5.5, 1988-11-02 05:55:00, None
2.0, None, None, -1.0, 2.5, 1988-11-02 13:55:00, None
0.0, None, None, -1.5, 3.5, 1988-11-03 05:55:00, None
5.5, None, None, -1.0, 5.5, 1988-11-03 13:45:00, None
0.0, None, None, -0.5, 7.0, 1988-11-04 05:55:00, None
8.0, None, None, -0.5, 8.5, 1988-11-04 13:45:00, None
5.5, None, None, 2.0, 9.0, 1988-11-05 05:55:00, None
3.0, None, None, 1.0, 5.5, 1988-11-05 13:50:00, None
4.0, None, None, 3.0, 6.0, 1988-11-06 05:55:00, None
4.0, 0.0, 0.0, 3.0, 5.5, 1988-11-06 13:50:00, 0.0
-3.0, 0.0, 0.0, -4.0, 4.0, 1988-11-07 05:55:00, 0.0
4.5, 0.0, 0.0, -4.0, 5.0, 1988-11-07 13:55:00, 0.0
-4.0, 0.0, 0.0, -6.0, 5.0, 1988-11-08 07:15:00, 0.0
5.0, 0.0, 0.0, -4.0, 5.0, 1988-11-08 13:45:00, 0.0
0.0, 0.0, 0.0, -4.0, 5.0, 1988-11-09 06:45:00, 0.0
5.0, 0.0, 0.0, -2.0, 5.0, 1988-11-09 13:45:00, 0.0
1.0, 0.0, 0.0, 1.0, 5.0, 1988-11-10 05:30:00, 0.0
2.0, 1.0, 1.0, 0.0, 2.0, 1988-11-10 13:00:00, 1.0
-7.0, None, None, -7.0, 2.0, 1988-11-11 06:00:00, None
1.0, None, None, -2.0, 4.0, 1988-11-11 16:00:00, None
-1.0, 7.0, 7.0, -3.0, 3.0, 1988-11-12 08:15:00, 7.0
3.0, 5.0, 0.0, -3.0, 4.0, 1988-11-12 13:50:00, 6.0
-3.0, 0.0, 0.0, -3.0, 3.0, 1988-11-13 06:00:00, 6.0
3.0, 0.0, 0.0, -5.0, 3.0, 1988-11-13 14:00:00, 6.0
-2.5, 0.0, 0.0, -5.0, 2.5, 1988-11-14 06:00:00, 5.0
-2.0, 0.0, 0.0, -3.0, -2.0, 1988-11-14 13:50:00, 5.0
-2.0, 0.0, 0.0, -2.5, -2.0, 1988-11-15 06:05:00, 4.0
-1.0, 0.0, 0.0, -4.5, -1.0, 1988-11-15 13:44:00, 4.0
-0.5, 1.0, 1.0, -3.0, -0.5, 1988-11-16 06:00:00, 5.0
0.5, 1.0, 1.0, -1.0, 1.5, 1988-11-16 13:50:00, 5.0
-3.0, 2.0, 1.0, -5.0, 0.5, 1988-11-17 06:00:00, 7.0
-3.5, 0.0, 0.0, -3.5, 3.0, 1988-11-17 14:25:00, 7.0
-4.5, 1.0, 1.0, -5.5, -4.5, 1988-11-18 06:00:00, 8.0
-1.5, 2.0, 1.0, -4.0, -1.5, 1988-11-18 14:15:00, 8.0
0.0, 5.0, 4.0, -2.0, 0.0, 1988-11-19 06:50:00, 10.0
1.5, 0.0, 0.0, -0.5, 1.5, 1988-11-19 13:40:00, 10.0
0.0, 2.0, 2.0, -1.0, 2.0, 1988-11-20 06:00:00, 10.0
1.0, None, 0.0, -1.0, 1.0, 1988-11-20 14:00:00, 10.0
3.0, 0.0, 0.0, -3.0, 3.0, 1988-11-21 06:00:00, 8.0
2.0, 0.0, 0.0, 0.0, 3.0, 1988-11-21 13:30:00, 8.0
-5.0, None, None, -5.0, 3.0, 1988-11-22 06:00:00, 8.0
0.0, 0.0, 0.0, -4.0, 0.0, 1988-11-22 14:00:00, 9.0
2.5, 0.0, 0.0, -2.0, 3.0, 1988-11-23 06:00:00, 9.0
3.0, 0.0, 0.0, 0.0, 3.0, 1988-11-23 14:00:00, 9.0
-10.0, 0.0, 0.0, -11.0, 3.0, 1988-11-24 06:00:00, 9.0
-1.0, 0.0, 0.0, -11.0, -0.5, 1988-11-24 14:00:00, 9.0
-9.0, 0.0, 0.0, -13.0, -0.5, 1988-11-25 06:00:00, 9.0
-7.5, 0.0, 0.0, -11.0, -7.0, 1988-11-25 14:00:00, 9.0
-18.0, 0.0, 0.0, -18.0, -8.0, 1988-11-26 06:00:00, 9.0
-9.0, 0.0, 0.0, -19.0, -9.0, 1988-11-26 14:00:00, 9.0
-3.0, 1.0, 1.0, -8.0, -3.0, 1988-11-27 06:00:00, 9.0
2.0, None, None, -3.0, 2.0, 1988-11-27 13:30:00, 9.0
0.0, 0.0, 0.0, -3.0, 3.0, 1988-11-28 06:00:00, 8.0
2.0, 0.0, 0.0, -1.0, 2.0, 1988-11-28 13:30:00, 8.0
1.0, 0.0, 0.0, -1.0, 1.0, 1988-11-29 06:00:00, 8.0
3.0, 0.0, 0.0, 0.0, 3.0, 1988-11-29 13:30:00, 8.0
1.0, 0.0, 0.0, 0.0, 3.0, 1988-11-30 06:00:00, 8.0
5.0, 0.0, 0.0, 1.0, 5.0, 1988-11-30 13:30:00, 7.0
0.0, 3.0, 3.0, 0.0, 5.0, 1988-12-01 06:00:00, 11.0
1.0, 7.0, 4.0, -1.0, 1.0, 1988-12-01 14:00:00, 15.0
-4.5, 0.0, 0.0, -4.5, 1.5, 1988-12-02 06:00:00, 14.0
0.0, 0.0, 0.0, -8.5, 0.5, 1988-12-02 13:50:00, 14.0
-7.0, 0.0, 0.0, -10.0, -0.5, 1988-12-03 06:00:00, 14.0
5.0, 0.0, 0.0, -7.0, 5.0, 1988-12-03 13:55:00, 12.0
6.0, 0.0, 0.0, 5.0, 7.0, 1988-12-04 06:00:00, 6.0
7.5, 0.0, 0.0, 5.0, 7.5, 1988-12-04 13:40:00, 3.0
2.5, 0.0, 0.0, 2.5, 8.0, 1988-12-05 06:00:00, 1.0
3.0, 0.0, 0.0, 1.5, 4.5, 1988-12-05 13:25:00, 1.0
-7.5, 0.0, 0.0, -9.0, 3.0, 1988-12-06 05:55:00, 1.0
-4.0, 0.0, 0.0, -8.5, -4.0, 1988-12-06 13:40:00, 1.0
-12.0, 0.0, 0.0, -14.0, -4.5, 1988-12-07 05:55:00, 1.0
-6.0, 0.0, 0.0, -12.0, -6.0, 1988-12-07 13:40:00, 1.0
-5.0, None, 9.0, -5.0, -5.0, 1988-12-08 06:00:00, 10.0
0.0, 10.0, 3.0, -1.0, 0.0, 1988-12-08 16:45:00, 11.0
-1.0, 0.0, 0.0, -2.0, 0.0, 1988-12-09 06:00:00, 11.0
0.0, 0.0, 0.0, -3.0, 0.0, 1988-12-09 14:00:00, 10.0
-2.0, 2.0, 2.0, -3.0, -0.5, 1988-12-10 06:00:00, 11.0
0.0, None, None, -5.0, 1.0, 1988-12-10 14:00:00, 10.0
0.0, 1.0, 1.0, -5.0, 1.0, 1988-12-11 06:00:00, 12.0
0.5, 2.0, 1.0, -0.5, 1.0, 1988-12-11 14:00:00, 13.0
-4.0, 0.0, 0.0, -5.0, 1.0, 1988-12-12 06:00:00, 13.0
0.0, 0.0, 0.0, -5.5, 1.0, 1988-12-12 14:00:00, 13.0
0.0, 24.0, 24.0, -1.0, 0.0, 1988-12-13 05:30:00, 35.0
-3.0, 28.0, 9.0, -3.0, 0.0, 1988-12-13 15:20:00, 40.0
-8.0, 28.0, 1.0, -8.0, -3.0, 1988-12-14 06:00:00, 39.0
-7.0, 0.0, 0.0, -9.0, -4.5, 1988-12-14 15:00:00, 39.0
-11.0, 0.0, 0.0, -11.0, -6.0, 1988-12-15 06:00:00, 36.0
-5.0, 0.0, 0.0, -11.0, -5.0, 1988-12-15 14:00:00, 36.0
-20.0, 0.0, 0.0, -20.0, -6.0, 1988-12-16 06:00:00, 35.0
-7.0, 0.0, 0.0, -20.0, -7.0, 1988-12-16 14:00:00, 35.0
-16.0, 0.0, 0.0, -18.0, -7.0, 1988-12-17 06:00:00, 30.0
-6.0, 0.0, 0.0, -18.0, -6.0, 1988-12-17 14:00:00, 30.0
-2.0, 0.0, 0.0, -8.0, -2.0, 1988-12-18 06:00:00, 28.0
1.0, 0.0, 0.0, -3.0, 1.0, 1988-12-18 14:00:00, 28.0
-9.0, 3.0, 3.0, -10.0, 1.0, 1988-12-19 06:00:00, 29.0
-4.0, 0.0, 0.0, -15.0, -4.0, 1988-12-19 13:30:00, 28.0
-15.5, 0.0, 0.0, -16.0, -4.5, 1988-12-20 05:55:00, 28.0
-10.0, 0.0, 0.0, -19.5, -8.0, 1988-12-20 14:00:00, 28.0
-9.5, 0.0, 0.0, -19.0, -9.5, 1988-12-21 05:55:00, 28.0
-9.0, 1.0, 1.0, -10.0, -8.0, 1988-12-21 13:50:00, 28.0
-16.0, 1.0, 0.0, -16.0, -9.0, 1988-12-22 06:00:00, 28.0
-8.0, 0.0, 0.0, -17.0, -8.0, 1988-12-22 13:50:00, 28.0
-8.5, 2.0, 2.0, -10.0, -7.5, 1988-12-23 05:50:00, 29.0
-7.0, 2.0, 0.0, -12.0, -7.0, 1988-12-23 13:40:00, 29.0
-7.0, 0.0, 0.0, -8.0, -7.0, 1988-12-24 06:00:00, 29.0
-7.5, 0.0, 0.0, -8.5, -7.0, 1988-12-24 13:35:00, 29.0
-21.0, 0.0, 0.0, -21.0, -8.0, 1988-12-25 06:05:00, 29.0
-16.0, None, None, -25.0, -16.0, 1988-12-25 14:00:00, None
-17.5, 0.0, 0.0, -21.0, -16.0, 1988-12-26 06:00:00, 29.0
-17.0, None, None, -20.0, -17.0, 1988-12-26 14:00:00, None
-10.0, 8.0, 5.0, -16.5, -9.5, 1988-12-27 06:00:00, 31.0
-8.0, 8.0, 3.0, -11.0, -8.0, 1988-12-27 14:00:00, 36.0
-7.0, 0.0, 0.0, -9.0, -7.0, 1988-12-28 06:00:00, 34.0
-5.0, 5.0, 5.0, -9.0, -5.0, 1988-12-28 15:00:00, 35.0
-5.0, 20.0, 9.0, -5.0, -4.0, 1988-12-29 05:00:00, 45.0
-3.0, 0.0, 0.0, -5.0, -1.0, 1988-12-29 14:30:00, 45.0
-5.0, 0.0, 0.0, -5.5, -2.0, 1988-12-30 06:00:00, 46.0
-9.0, 0.0, 0.0, -10.0, -5.5, 1988-12-30 14:00:00, 46.0
-24.0, 0.0, 0.0, -24.0, -9.0, 1988-12-31 06:00:00, 45.0
-15.0, 0.0, 0.0, -26.0, -15.0, 1988-12-31 14:00:00, 45.0
-12.0, 0.0, 0.0, -19.0, -11.0, 1989-01-01 06:00:00, 40.0
-8.0, 5.0, 5.0, -11.0, -8.0, 1989-01-01 15:00:00, 45.0
-14.0, 0.0, 0.0, -14.0, -8.0, 1989-01-02 06:00:00, 43.0
-6.0, None, None, -15.0, -6.0, 1989-01-02 13:30:00, 43.0
-3.0, 10.0, 10.0, -15.0, -3.0, 1989-01-03 06:00:00, 50.0
-7.0, 11.0, 1.0, -7.0, 0.0, 1989-01-03 17:00:00, 49.0
-11.0, None, None, -11.0, -7.0, 1989-01-04 06:00:00, 48.0
-7.0, 0.1, 0.1, -13.0, -5.0, 1989-01-04 16:00:00, 47.0
-9.0, 0.1, 0.1, -14.0, -7.0, 1989-01-05 06:00:00, 47.0
-12.0, 3.0, 2.0, -12.0, -9.0, 1989-01-05 17:00:00, 50.0
-19.0, 0.0, 0.0, -21.0, -12.0, 1989-01-06 06:00:00, 50.0
-16.0, 0.0, 0.0, -19.0, -16.0, 1989-01-06 13:30:00, 50.0
-34.0, 0.0, 0.0, -35.5, -15.5, 1989-01-07 06:00:00, 48.0
-22.0, 0.0, 0.0, -36.5, -22.0, 1989-01-07 14:50:00, 48.0
-22.0, 1.0, 1.0, -28.0, -20.5, 1989-01-08 05:55:00, 49.0
-13.5, 1.0, 1.0, -23.0, -13.5, 1989-01-08 14:10:00, 48.0
-12.0, 8.0, 7.0, -14.0, -11.5, 1989-01-09 05:30:00, 55.0
-8.5, 8.0, 0.0, -15.0, -8.5, 1989-01-09 14:05:00, 55.0
-13.5, 0.0, 0.0, -15.0, -8.0, 1989-01-10 05:45:00, 55.0
-10.0, 0.0, 0.0, -13.0, -10.0, 1989-01-10 14:00:00, 52.0
-13.0, 0.0, 0.0, -18.0, -10.0, 1989-01-11 06:00:00, 52.0
-6.0, None, None, -13.0, -6.0, 1989-01-11 13:30:00, 51.0
-2.0, 2.0, 2.0, -5.5, -2.0, 1989-01-12 05:45:00, 50.0
-1.0, 5.0, 5.0, -2.0, 2.0, 1989-01-12 19:00:00, 48.0
-10.0, None, None, -10.0, -1.0, 1989-01-13 06:00:00, 48.0
-5.0, None, None, -14.0, -3.0, 1989-01-13 14:00:00, 48.0
-20.0, None, None, -21.0, -5.0, 1989-01-14 06:00:00, 47.0
-8.0, None, None, -20.0, -8.0, 1989-01-14 14:00:00, 47.0
-7.0, 3.0, 3.0, -11.0, -7.0, 1989-01-15 06:00:00, 50.0
-2.0, 5.0, 2.0, -7.0, -2.0, 1989-01-15 14:00:00, 51.0
-1.0, 15.0, 15.0, -7.0, -1.0, 1989-01-16 06:00:00, 65.0
2.0, 0.0, 0.0, -1.5, 2.0, 1989-01-16 14:20:00, 63.0
-2.0, 0.0, 0.0, -2.0, 3.0, 1989-01-17 06:00:00, 63.0
-3.0, 0.0, 0.0, -4.0, -1.0, 1989-01-17 17:30:00, 63.0
-1.0, 1.0, 1.0, -4.0, -1.0, 1989-01-18 06:00:00, 60.0
-1.0, 0.0, 0.0, -1.0, 1.0, 1989-01-18 16:00:00, 60.0
-3.0, 0.0, 0.0, -5.0, -1.0, 1989-01-19 06:00:00, 57.0
0.0, 4.0, 3.0, -4.0, 1.0, 1989-01-19 17:00:00, 59.0
1.0, 1.0, 1.0, 0.0, 2.5, 1989-01-20 06:00:00, 58.0
5.0, 0.0, 0.0, 0.0, 5.0, 1989-01-20 13:30:00, 57.0
-4.0, 0.0, 0.0, -5.0, 6.0, 1989-01-21 06:00:00, 57.0
0.0, 0.0, 0.0, -10.0, 0.0, 1989-01-21 13:30:00, 57.0
-19.0, 0.0, 0.0, -19.0, 5.0, 1989-01-22 06:00:00, 57.0
-5.0, 0.0, 0.0, -23.0, -5.0, 1989-01-22 13:30:00, 56.0
-20.0, 0.0, 0.0, -25.0, -5.0, 1989-01-23 06:00:00, 56.0
-11.0, 0.0, 0.0, -22.0, -11.0, 1989-01-23 13:30:00, 54.0
-6.0, 0.0, 0.0, -13.0, -6.0, 1989-01-24 06:00:00, 54.0
-2.0, 0.0, 0.0, -6.0, -2.0, 1989-01-24 13:30:00, 54.0
-4.0, 10.0, 5.0, -5.5, -1.5, 1989-01-25 05:40:00, 62.0
-1.5, 0.0, 0.0, -5.0, -1.0, 1989-01-25 15:20:00, 62.0
0.0, 0.0, 0.0, -2.0, 0.0, 1989-01-26 05:45:00, 60.0
4.5, 0.0, 0.0, -2.0, 5.5, 1989-01-26 17:00:00, 60.0
-2.0, 0.0, 0.0, -2.5, 5.5, 1989-01-27 06:00:00, 59.0
2.0, 0.0, 0.0, -2.0, 4.0, 1989-01-27 15:50:00, 59.0
0.0, 0.0, 0.0, -4.0, 2.0, 1989-01-28 06:05:00, 59.0
3.0, 0.0, 0.0, -1.0, 4.0, 1989-01-28 14:00:00, 56.0
0.5, 2.0, 2.0, 0.0, 3.0, 1989-01-29 05:50:00, 58.0
2.0, 0.0, 0.0, 0.0, 2.0, 1989-01-29 13:30:00, 57.0
0.5, 1.0, 1.0, 0.5, 3.0, 1989-01-30 06:00:00, 56.0
-22.0, 7.0, 7.0, -22.0, 1.0, 1989-01-30 15:50:00, 60.0
-31.0, 0.0, 0.0, -31.0, -23.0, 1989-01-31 06:00:00, 56.0
-27.5, 0.0, 0.0, -32.0, -27.0, 1989-01-31 14:00:00, 56.0
-30.0, 0.0, 0.0, -31.0, -24.0, 1989-02-01 06:00:00, 56.0
-23.0, 0.0, 0.0, -30.0, -23.0, 1989-02-01 14:00:00, 56.0
-25.5, 0.0, 0.0, -31.0, -24.0, 1989-02-02 06:00:00, 56.0
-24.0, 0.0, 0.0, -27.0, -23.0, 1989-02-02 14:30:00, 56.0
-31.0, 0.0, 0.0, -31.0, -23.0, 1989-02-03 06:00:00, 56.0
-15.5, 0.0, 0.0, -33.0, -15.5, 1989-02-03 13:45:00, 56.0
-34.0, 0.0, 0.0, -35.0, -15.0, 1989-02-04 06:00:00, 56.0
-15.0, 0.0, 0.0, -35.0, -15.0, 1989-02-04 14:00:00, 56.0
-32.0, 0.0, 0.0, -33.0, -14.0, 1989-02-05 06:00:00, 56.0
-14.0, 0.0, 0.0, -34.0, -14.0, 1989-02-05 14:00:00, 56.0
-35.0, 0.0, 0.0, -35.0, -14.0, 1989-02-06 06:00:00, 56.0
-15.0, 0.0, 0.0, -33.0, -15.0, 1989-02-06 13:30:00, 56.0
