station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
1.0, None, None, None, 1.0, None, 1.0, 1982-12-13 13:30:00, None, 49.0
0.0, None, None, None, -4.0, None, 1.0, 1982-12-14 11:30:00, None, 49.0
0.0, None, 3.0, 3.0, -1.0, None, 1.0, 1982-12-15 07:00:00, None, 52.0
1.0, None, None, None, 0.0, None, 1.0, 1982-12-15 13:00:00, None, 52.0
3.0, None, None, None, -1.0, None, 3.0, 1982-12-16 07:00:00, None, 51.0
3.0, None, None, None, 2.0, None, 3.0, 1982-12-16 13:00:00, None, 51.0
1.0, None, None, None, -1.0, None, 3.0, 1982-12-17 07:00:00, None, 50.0
1.0, None, None, None, -1.0, None, 1.0, 1982-12-17 12:30:00, None, 50.0
1.0, None, 1.0, 1.0, None, None, 1.0, 1982-12-18 07:00:00, None, 51.0
1.0, None, None, None, -1.0, None, 1.0, 1982-12-18 12:30:00, None, 51.0
-1.0, None, None, None, -1.5, None, 1.5, 1982-12-19 06:00:00, None, 50.0
0.5, None, 1.0, 1.0, -1.5, None, 1.0, 1982-12-19 12:30:00, None, 51.0
-0.5, None, 4.0, 3.0, -1.5, None, 1.0, 1982-12-20 06:00:00, None, 53.0
-0.5, None, 4.0, None, -1.5, None, -0.5, 1982-12-20 12:00:00, None, 53.0
-1.0, None, None, None, -2.0, None, 0.0, 1982-12-21 06:00:00, None, 52.0
1.0, None, None, None, -1.0, None, 1.0, 1982-12-21 13:00:00, None, 52.0
-1.0, None, 2.0, 2.0, -4.0, None, 1.0, 1982-12-22 06:00:00, None, 54.0
-1.0, None, 7.0, 5.0, -2.0, None, -1.0, 1982-12-22 14:45:00, None, 58.0
-2.5, None, 12.0, 6.0, -4.0, None, -1.0, 1982-12-23 06:00:00, None, 60.0
1.0, None, 19.0, 9.0, -3.0, None, 1.0, 1982-12-23 14:00:00, None, 70.0
2.0, None, 26.0, 11.0, 0.0, None, 2.0, 1982-12-24 06:00:00, None, 75.0
3.0, None, 9.0, None, 0.0, None, 6.0, 1982-12-24 13:00:00, None, 70.0
-0.5, None, 24.0, 10.0, -1.5, None, 3.5, 1982-12-26 18:00:00, None, 70.0
-3.0, None, None, None, -4.0, None, -1.0, 1982-12-27 06:00:00, None, 69.0
-3.0, None, None, None, -4.0, None, -2.0, 1982-12-27 12:30:00, None, 68.0
-4.0, None, None, None, -8.0, None, -1.0, 1982-12-28 15:00:00, None, 67.0
-10.0, None, None, None, -10.0, None, -5.0, 1982-12-29 07:00:00, None, 67.0
-6.0, None, None, None, -10.0, None, -6.0, 1982-12-29 12:30:00, None, 67.0
-10.0, None, None, None, -11.0, None, -1.0, 1982-12-30 07:00:00, None, 67.0
