station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-7.0, 2.0, 2.0, -8.0, -3.0, 1982-01-05 07:00:00, None, 42.0
-1.0, None, None, -8.0, -1.0, 1982-01-05 14:00:00, None, 42.0
-1.0, None, None, -3.0, -1.0, 1982-01-06 14:00:00, None, 43.0
-8.5, 2.0, 2.0, -10.5, -7.5, 1982-11-25 14:00:00, None, 12.0
-7.0, 1.0, 1.0, -8.5, -7.0, 1982-11-26 07:30:00, None, 13.0
-4.5, None, None, -7.0, -4.0, 1982-11-26 14:30:00, None, 13.0
-4.5, None, None, -8.0, -4.0, 1982-11-27 07:30:00, None, 13.0
-2.0, None, None, -5.0, -1.5, 1982-11-27 14:00:00, None, 13.0
-3.0, 5.0, 5.0, -3.5, 7.0, 1982-11-28 07:00:00, None, 18.0
-1.0, 1.0, 1.0, -3.0, -1.0, 1982-11-28 14:30:00, None, 19.0
-1.5, None, None, -2.0, -1.0, 1982-11-29 07:30:00, None, 19.0
1.0, 2.0, 2.0, -1.0, 1.0, 1982-11-29 14:00:00, None, 20.0
0.0, None, None, -1.0, 1.0, 1982-11-30 07:30:00, None, 20.0
1.5, None, None, -0.5, 1.5, 1982-11-30 14:00:00, None, 20.0
-2.5, None, None, -3.0, -2.0, 1982-12-01 02:00:00, None, 20.0
-2.5, None, None, -4.0, 2.0, 1982-12-01 07:30:00, None, 20.0
-5.5, None, None, -10.0, -1.0, 1982-12-02 07:30:00, None, 20.0
-1.0, None, None, -6.0, -1.0, 1982-12-02 14:00:00, None, 20.0
-2.0, None, 3.0, -3.0, 1.0, 1982-12-03 07:30:00, None, 23.0
-1.0, None, 2.0, -3.0, 1.0, 1982-12-03 14:00:00, None, 24.0
-7.5, 3.0, None, -9.0, 2.0, 1982-12-04 07:00:00, None, 24.0
-2.0, 1.0, 1.0, -8.0, -2.0, 1982-12-04 14:00:00, None, 25.0
-6.0, 2.0, 2.0, -12.0, -2.0, 1982-12-05 07:00:00, None, 25.0
-4.5, None, None, -6.5, -3.5, 1982-12-05 14:00:00, None, 25.0
-9.0, None, None, -14.0, -4.0, 1982-12-06 07:30:00, None, 25.0
-8.0, None, None, -12.0, -8.0, 1982-12-06 14:00:00, None, 25.0
-12.0, None, None, -18.0, -8.0, 1982-12-07 07:30:00, None, 25.0
-9.5, None, None, -14.0, -9.5, 1982-12-07 14:00:00, None, 25.0
-9.0, None, 2.0, -12.0, -7.0, 1982-12-08 07:30:00, None, 27.0
-5.0, 3.0, 1.0, -9.0, -5.0, 1982-12-08 14:00:00, None, 27.0
-4.5, None, None, -9.0, -4.0, 1982-12-09 07:30:00, None, 26.0
-3.0, None, None, -4.5, -3.0, 1982-12-09 14:00:00, None, 25.0
-5.0, None, None, -6.0, -2.5, 1982-12-10 07:30:00, None, 25.0
-4.5, None, None, -8.0, -4.0, 1982-12-10 14:00:00, None, 25.0
-5.0, None, None, -5.5, -4.0, 1982-12-11 07:00:00, None, 25.0
-4.0, None, None, -6.0, -2.5, 1982-12-11 14:00:00, None, 25.0
